GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1500000US360050042005,3.60E+11,Block Group 5  Census Tract 42  Bronx County  New York,21863,8181
1500000US360050042006,3.60E+11,Block Group 6  Census Tract 42  Bronx County  New York,,
1500000US360050042007,3.60E+11,Block Group 7  Census Tract 42  Bronx County  New York,16067,4462
1500000US360050043001,3.60E+11,Block Group 1  Census Tract 43  Bronx County  New York,8926,1420
1500000US360050043002,3.60E+11,Block Group 2  Census Tract 43  Bronx County  New York,11327,2141
1500000US360050043003,3.60E+11,Block Group 3  Census Tract 43  Bronx County  New York,15808,7179
1500000US360050043004,3.60E+11,Block Group 4  Census Tract 43  Bronx County  New York,14354,4559
1500000US360050044001,3.60E+11,Block Group 1  Census Tract 44  Bronx County  New York,11333,2272
1500000US360050044002,3.60E+11,Block Group 2  Census Tract 44  Bronx County  New York,16820,5364
1500000US360050044003,3.60E+11,Block Group 3  Census Tract 44  Bronx County  New York,15629,4704
1500000US360050044004,3.60E+11,Block Group 4  Census Tract 44  Bronx County  New York,9878,3531
1500000US360050046001,3.60E+11,Block Group 1  Census Tract 46  Bronx County  New York,22433,5628
1500000US360050048001,3.60E+11,Block Group 1  Census Tract 48  Bronx County  New York,12878,2719
1500000US360050048002,3.60E+11,Block Group 2  Census Tract 48  Bronx County  New York,11714,2446
1500000US360050050011,3.60E+11,Block Group 1  Census Tract 50.01  Bronx County  New York,18666,4684
1500000US360050050012,3.60E+11,Block Group 2  Census Tract 50.01  Bronx County  New York,10824,3390
1500000US360050050013,3.60E+11,Block Group 3  Census Tract 50.01  Bronx County  New York,10689,4913
1500000US360050050014,3.60E+11,Block Group 4  Census Tract 50.01  Bronx County  New York,15440,4110
1500000US360050050021,3.60E+11,Block Group 1  Census Tract 50.02  Bronx County  New York,18432,4622
1500000US360050050022,3.60E+11,Block Group 2  Census Tract 50.02  Bronx County  New York,17321,4606
1500000US360050050023,3.60E+11,Block Group 3  Census Tract 50.02  Bronx County  New York,9908,3116
1500000US360050050024,3.60E+11,Block Group 4  Census Tract 50.02  Bronx County  New York,9790,3230
1500000US360050051001,3.60E+11,Block Group 1  Census Tract 51  Bronx County  New York,17015,6135
1500000US360050051002,3.60E+11,Block Group 2  Census Tract 51  Bronx County  New York,10569,2174
1500000US360050051003,3.60E+11,Block Group 3  Census Tract 51  Bronx County  New York,10814,2262
1500000US360050052001,3.60E+11,Block Group 1  Census Tract 52  Bronx County  New York,21635,14935
1500000US360050052002,3.60E+11,Block Group 2  Census Tract 52  Bronx County  New York,15141,5060
1500000US360050053001,3.60E+11,Block Group 1  Census Tract 53  Bronx County  New York,8746,2007
1500000US360050053002,3.60E+11,Block Group 2  Census Tract 53  Bronx County  New York,10860,2687
1500000US360050054001,3.60E+11,Block Group 1  Census Tract 54  Bronx County  New York,17215,6818
1500000US360050054002,3.60E+11,Block Group 2  Census Tract 54  Bronx County  New York,17199,3140
1500000US360050054003,3.60E+11,Block Group 3  Census Tract 54  Bronx County  New York,12419,5587
1500000US360050054004,3.60E+11,Block Group 4  Census Tract 54  Bronx County  New York,13251,3242
1500000US360050056001,3.60E+11,Block Group 1  Census Tract 56  Bronx County  New York,18018,8181
1500000US360050056002,3.60E+11,Block Group 2  Census Tract 56  Bronx County  New York,15961,3216
1500000US360050056003,3.60E+11,Block Group 3  Census Tract 56  Bronx County  New York,12945,4115
1500000US360050059021,3.60E+11,Block Group 1  Census Tract 59.02  Bronx County  New York,22452,10621
1500000US360050059022,3.60E+11,Block Group 2  Census Tract 59.02  Bronx County  New York,17534,4378
1500000US360050060001,3.60E+11,Block Group 1  Census Tract 60  Bronx County  New York,16133,2795
1500000US360050061001,3.60E+11,Block Group 1  Census Tract 61  Bronx County  New York,27271,6372
1500000US360050061002,3.60E+11,Block Group 2  Census Tract 61  Bronx County  New York,31228,4265
1500000US360050061003,3.60E+11,Block Group 3  Census Tract 61  Bronx County  New York,,
1500000US360050062001,3.60E+11,Block Group 1  Census Tract 62  Bronx County  New York,17733,3662
1500000US360050062002,3.60E+11,Block Group 2  Census Tract 62  Bronx County  New York,6212,1090
1500000US360050062003,3.60E+11,Block Group 3  Census Tract 62  Bronx County  New York,10439,3418
1500000US360050062004,3.60E+11,Block Group 4  Census Tract 62  Bronx County  New York,15191,4152
1500000US360050062005,3.60E+11,Block Group 5  Census Tract 62  Bronx County  New York,13228,4392
1500000US360050063001,3.60E+11,Block Group 1  Census Tract 63  Bronx County  New York,,
1500000US360050063002,3.60E+11,Block Group 2  Census Tract 63  Bronx County  New York,27804,9652
1500000US360050063003,3.60E+11,Block Group 3  Census Tract 63  Bronx County  New York,19911,6500
1500000US360050063004,3.60E+11,Block Group 4  Census Tract 63  Bronx County  New York,20436,6451
1500000US360050063005,3.60E+11,Block Group 5  Census Tract 63  Bronx County  New York,12336,3655
1500000US360050063006,3.60E+11,Block Group 6  Census Tract 63  Bronx County  New York,20188,4581
1500000US360050064001,3.60E+11,Block Group 1  Census Tract 64  Bronx County  New York,22339,7930
1500000US360050064002,3.60E+11,Block Group 2  Census Tract 64  Bronx County  New York,15642,6990
1500000US360050064003,3.60E+11,Block Group 3  Census Tract 64  Bronx County  New York,14223,5911
1500000US360050064004,3.60E+11,Block Group 4  Census Tract 64  Bronx County  New York,9882,4298
1500000US360050065001,3.60E+11,Block Group 1  Census Tract 65  Bronx County  New York,12741,5061
