SCHOOL_NAME,YEAR,TOTAL,Asian_Per,Black_Per,Hispanic_Per,Indian_Per,White_Per,FreeReducedLunch_FTE_Per
ACAD OF ENVT SCI/MATH ELEM (4990),2015,328,0,98.8,0.6,0,0.6,*
ACAD OF ENVT SCI/MATH ELEM (4990),2014,505,0.2,98.6,0.8,0,0.4,*
ACAD OF ENVT SCI/MATH ELEM (4990),2013,786,0.3,97.6,0.8,0.3,1.1,*
ACAD OF ENVT SCI/MATH MIDDLE (3250),2015,282,0.4,97.5,0,0,2.1,*
ACAD OF ENVT SCI/MATH MIDDLE (3250),2014,306,0,99.3,0,0.3,0.3,*
ACAD OF ENVT SCI/MATH MIDDLE (3250),2013,409,0,99,0.2,0.5,0.2,*
ADAMS ELEM. (4000),2015,278,0.4,96.4,0,0,3.2,*
ADAMS ELEM. (4000),2014,314,0.3,95.5,0,0,4.1,*
ADAMS ELEM. (4000),2013,279,0,97.5,0,0,2.5,*
ADAMS ELEM. (4000),2012,283,0,96.5,0.7,0,2.8,*
ADAMS ELEM. (4000),2011,291,0,97.6,0,0,2.4,*
ADAMS ELEM. (4000),2010,350,0.3,96.6,0,0,3.1,93.7
ADAMS ELEM. (4000),2009,303,0.3,93.1,0.3,0,6.3,85.9
ADAMS ELEM. (4000),2008,299,0.3,94.3,0.3,0,5,85.1
AMES VISUAL/PERF. ARTS (4250),2015,345,0,98.8,0.9,0,0.3,*
AMES VISUAL/PERF. ARTS (4250),2014,364,0,97.5,0.8,0.3,1.4,94
AMES VISUAL/PERF. ARTS (4250),2013,416,0,96.4,0.2,0.2,3.1,*
AMES VISUAL/PERF. ARTS (4250),2012,342,0,95.3,0.6,0.3,3.8,93.6
AMES VISUAL/PERF. ARTS (4250),2011,347,0.6,93.7,1.2,0.3,4.3,90.8
AMES VISUAL/PERF. ARTS (4250),2010,318,0.9,91.2,1.3,0.9,5.7,91.7
AMES VISUAL/PERF. ARTS (4250),2009,286,2.1,87.4,1,1,8.4,71.3
AMES VISUAL/PERF. ARTS (4250),2008,259,2.7,83.4,2.3,1.5,10,76.5
ASHLAND ELEM. AND BR. (4060),2015,329,0,100,0,0,0,*
ASHLAND ELEM. AND BR. (4060),2014,341,0,100,0,0,0,*
ASHLAND ELEM. AND BR. (4060),2013,336,0,99.4,0,0,0.6,*
ASHLAND ELEM. AND BR. (4060),2012,257,0,100,0,0,0,*
ASHLAND ELEM. AND BR. (4060),2011,291,0,100,0,0,0,*
ASHLAND ELEM. AND BR. (4060),2010,318,0,99.7,0,0,0.3,91
ASHLAND ELEM. AND BR. (4060),2009,329,0,99.4,0,0,0.6,74.9
ASHLAND ELEM. AND BR. (4060),2008,344,0,99.4,0,0,0.6,85.6
BADEN ELEM. (4080),2009,263,0.8,99.2,0,0,0,72.2
BADEN ELEM. (4080),2008,287,0,100,0,0,0,79.3
BEAUMONT CTE HIGH SCHOOL (1250),2015,442,0.9,90,1.6,0,7.5,*
BEAUMONT CTE HIGH SCHOOL (1250),2014,63,0,100,0,0,0,82.3
BEAUMONT CTE HIGH SCHOOL (1250),2013,152,0,99.3,0,0,0.7,91.9
BEAUMONT CTE HIGH SCHOOL (1250),2012,335,0,99.7,0,0,0.3,83.9
BEAUMONT CTE HIGH SCHOOL (1250),2011,714,0,99.9,0,0,0.1,77.2
BEAUMONT CTE HIGH SCHOOL (1250),2010,782,0,99.6,0.1,0,0.3,79
BEAUMONT CTE HIGH SCHOOL (1250),2009,899,0.1,99.3,0,0,0.6,56.9
BEAUMONT CTE HIGH SCHOOL (1250),2008,1062,0.3,99.3,0,0,0.4,59.5
BIG PICTURE ELEM. ALT. (1021),2009,63,0,96.8,0,0,3.2,83.9
BIG PICTURE ELEM. ALT. (1021),2008,58,0,94.8,0,0,5.2,85.7
BIG PICTURE MIDDLE & HIGH @ NW (1023),2011,121,0,94.2,0.8,0,5,85
BIG PICTURE MIDDLE & HIGH @ NW (1023),2010,139,0,95.7,0.7,0,3.6,90.3
BIG PICTURE MIDDLE & HIGH @ NW (1023),2009,85,0,89.4,0,0,10.6,77.8
BIG PICTURE MIDDLE & HIGH @ NW (1023),2008,65,0,92.3,0,0,7.7,74.1
BIG PICTURE MIDDLE ALT. (1022),2009,64,0,96.9,1.6,0,1.6,70.1
BIG PICTURE MIDDLE ALT. (1022),2008,60,0,96.7,0,0,3.3,74.1
BLEWETT MIDDLE (3020),2012,0,0,0,0,0,0,*
BLEWETT MIDDLE (3020),2011,0,0,0,0,0,0,*
BLEWETT MIDDLE (3020),2010,0,0,0,0,0,0,*
BLEWETT MIDDLE (3020),2009,167,0,100,0,0,0,73.4
BLEWETT MIDDLE (3020),2008,236,0,100,0,0,0,89.8
BLOW MIDDLE (3040),2008,202,3,78.2,5.4,0,13.4,72.9
BRYAN HILL ELEM. (4180),2015,184,0,98.4,0,0,1.6,*
BRYAN HILL ELEM. (4180),2014,170,0,98.8,0,0,1.2,*
BRYAN HILL ELEM. (4180),2013,187,0,98.4,0,0,1.6,*
BRYAN HILL ELEM. (4180),2012,168,0,99.4,0,0,0.6,*
BRYAN HILL ELEM. (4180),2011,165,0.6,98.2,0,0,1.2,*
BRYAN HILL ELEM. (4180),2010,176,1.1,98.9,0,0,0,94.6
BRYAN HILL ELEM. (4180),2009,167,1.2,98.8,0,0,0,80
BRYAN HILL ELEM. (4180),2008,180,0.6,99.4,0,0,0,80.5
BUDER ELEM. (4200),2015,325,1.5,31.4,6.5,0.6,60,*
BUDER ELEM. (4200),2014,315,2.2,30.8,5.7,0.3,61,88.4
BUDER ELEM. (4200),2013,349,2.3,25.5,4.6,0,67.6,86.2
BUDER ELEM. (4200),2012,345,3.2,22.9,7.2,0,66.7,84.1
BUDER ELEM. (4200),2011,327,1.8,21.7,8.3,0,68.2,88.5
BUDER ELEM. (4200),2010,339,2.7,27.1,6.2,0,64,87.1
BUDER ELEM. (4200),2009,324,2.8,26.5,5.2,0,65.4,63.3
BUDER ELEM. (4200),2008,362,3,26.2,5.5,0.6,64.6,73.2
BUNCHE INTERNATIONAL STUDIES (3110),2011,178,6.2,77.5,8.4,0,7.9,94.2
BUNCHE INTERNATIONAL STUDIES (3110),2010,294,5.8,75.9,7.8,0.3,10.2,90.2
BUNCHE INTERNATIONAL STUDIES (3110),2009,259,3.9,71.4,10.4,0.4,13.9,79
BUNCHE INTERNATIONAL STUDIES (3110),2008,244,4.9,65.2,13.1,0,16.8,75.9
BUSCH MS CHARACTER & ATHLETICS (3050),2015,349,4.3,46.7,8.9,0.3,39.8,*
BUSCH MS CHARACTER & ATHLETICS (3050),2014,330,4.8,38.8,9.1,0.6,46.7,83.6
BUSCH MS CHARACTER & ATHLETICS (3050),2013,353,3.4,41.4,9.1,0.3,45.9,83.5
BUSCH MS CHARACTER & ATHLETICS (3050),2012,346,2.9,44.8,8.1,0.3,43.9,83.4
BUSCH MS CHARACTER & ATHLETICS (3050),2011,307,3.6,49.2,3.9,0,43.3,83.7
BUSCH MS CHARACTER & ATHLETICS (3050),2010,266,2.6,46.6,4.1,0,46.6,82
BUSCH MS CHARACTER & ATHLETICS (3050),2009,277,1.4,55.6,3.2,0,39.7,66.7
BUSCH MS CHARACTER & ATHLETICS (3050),2008,238,0.8,56.3,3.8,0,39.1,66.5
CARDINAL GLENNON HOSPITAL (6280),2015,0,0,0,0,0,0,*
CARDINAL GLENNON HOSPITAL (6280),2014,0,0,0,0,0,0,*
CARDINAL GLENNON HOSPITAL (6280),2013,0,0,0,0,0,0,*
CARDINAL GLENNON HOSPITAL (6280),2012,0,0,0,0,0,0,*
CARDINAL GLENNON HOSPITAL (6280),2011,0,0,0,0,0,0,*
CARDINAL GLENNON HOSPITAL (6280),2010,0,0,0,0,0,0,*
CARDINAL GLENNON HOSPITAL (6280),2009,0,0,0,0,0,0,*
CARDINAL GLENNON HOSPITAL (6280),2008,10,0,70,0,0,30,*
CARNAHAN SCH. OF THE FUTURE (1500),2015,414,0.5,89.1,4.3,0.5,5.6,*
CARNAHAN SCH. OF THE FUTURE (1500),2014,374,0.3,86.6,4,0.3,8.8,85
CARNAHAN SCH. OF THE FUTURE (1500),2013,344,0.3,87.8,3.8,0.3,7.8,83.8
CARNAHAN SCH. OF THE FUTURE (1500),2012,376,0.5,86.4,2.9,0,10.1,89.4
CARNAHAN SCH. OF THE FUTURE (1500),2011,354,0.8,87.9,2.3,0,9,83.7
CARNAHAN SCH. OF THE FUTURE (1500),2010,393,1,88,2,0.3,8.7,85.2
CARNAHAN SCH. OF THE FUTURE (1500),2009,290,1.7,85.9,1.7,0,10.7,85.7
CARNAHAN SCH. OF THE FUTURE (1500),2008,198,1.5,86.9,1,0,10.6,72.2
CARR LANE VPA MIDDLE (3070),2015,557,0.2,93.7,1.8,0.5,3.8,*
CARR LANE VPA MIDDLE (3070),2014,610,0.7,92.1,2.1,0.5,4.6,93.1
CARR LANE VPA MIDDLE (3070),2013,559,1.3,89.8,2.7,0.9,5.4,*
CARR LANE VPA MIDDLE (3070),2012,516,0.8,88.6,3.3,0.8,6.6,88.2
CARR LANE VPA MIDDLE (3070),2011,551,0.5,86.8,2.5,0.4,9.8,87
CARR LANE VPA MIDDLE (3070),2010,503,1.2,82.7,3.2,0.8,12.1,84.6
CARR LANE VPA MIDDLE (3070),2009,428,0.9,79.2,3,0.7,16.1,70.8
CARR LANE VPA MIDDLE (3070),2008,480,1,80,2.7,0.8,15.4,77.9
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2015,396,1,81.8,3.3,0.8,13.1,*
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2014,402,0.7,82.6,1.7,0.5,14.4,85.4
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2013,388,1.5,76.3,1.8,0.3,20.1,79.1
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2012,423,2.1,72.8,2.4,0.2,22.5,78.2
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2011,522,2.5,72.4,3.3,0,21.8,83.5
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2010,694,1.9,73.5,3.2,0.1,21.3,80.9
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2009,781,1.8,71.7,2,0.3,24.2,63.2
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2008,688,1.9,69.2,2.9,0.1,25.9,58
CLARK ELEM. (4320),2009,197,0,96.4,1,0,2.5,58.9
CLARK ELEM. (4320),2008,184,0,97.3,2.2,0.5,0,74.9
CLAY ELEM. (4360),2015,164,0.6,97.6,0,0,1.8,*
CLAY ELEM. (4360),2014,145,0,99.3,0,0,0.7,*
CLAY ELEM. (4360),2013,139,0,97.1,0,0,2.9,*
CLAY ELEM. (4360),2012,125,0,96.8,0,0,3.2,*
CLAY ELEM. (4360),2011,152,0,99.3,0,0,0.7,*
CLAY ELEM. (4360),2010,183,0.5,97.3,0,0,2.2,94.6
CLAY ELEM. (4360),2009,181,0.6,97.2,0,0,2.2,87.9
CLAY ELEM. (4360),2008,227,2.2,95.2,0,0,2.6,85.8
CLEVELAND NJROTC ACADEMY (1440),2015,290,2.4,74.1,7.9,0.3,15.2,*
CLEVELAND NJROTC ACADEMY (1440),2014,299,2.7,73.6,5.4,0.7,17.7,80.8
CLEVELAND NJROTC ACADEMY (1440),2013,279,3.6,74.6,5.7,0.4,15.8,85.3
CLEVELAND NJROTC ACADEMY (1440),2012,260,4.2,70.8,6.5,0.8,17.7,88.3
CLEVELAND NJROTC ACADEMY (1440),2011,257,2.7,73.5,6.2,1.2,16.3,82.7
CLEVELAND NJROTC ACADEMY (1440),2010,238,2.9,74.4,5,0.8,16.8,82.4
CLEVELAND NJROTC ACADEMY (1440),2009,268,2.6,65.3,6.3,0.7,25,57.1
CLEVELAND NJROTC ACADEMY (1440),2008,347,2.9,65.4,4.9,0.6,26.2,55.8
COLE ELEM. (4400),2015,382,0.8,97.4,0.5,0,1.3,*
COLE ELEM. (4400),2014,339,0.3,98.2,0.3,0,1.2,*
COLE ELEM. (4400),2013,299,0.3,98.7,0.3,0,0.7,93
COLE ELEM. (4400),2012,214,0.9,98.1,0,0,0.9,93.2
COLE ELEM. (4400),2011,156,0,100,0,0,0,*
COLE ELEM. (4400),2010,158,0,99.4,0,0,0.6,*
COLE ELEM. (4400),2009,166,0,99.4,0,0,0.6,80.4
COLE ELEM. (4400),2008,200,0,99.5,0,0,0.5,86.8
COLLEGIATE SCHOOL OF MED/BIO (1510),2015,110,19.1,56.4,1.8,0.9,21.8,*
COLLEGIATE SCHOOL OF MED/BIO (1510),2014,61,24.6,44.3,1.6,0,29.5,47.4
COLUMBIA ELEM. COMM. ED. CTR. (4420),2015,182,0,99.5,0,0,0.5,*
COLUMBIA ELEM. COMM. ED. CTR. (4420),2014,221,0.5,99.5,0,0,0,93.6
COLUMBIA ELEM. COMM. ED. CTR. (4420),2013,198,0,100,0,0,0,*
COLUMBIA ELEM. COMM. ED. CTR. (4420),2012,174,0,100,0,0,0,*
COLUMBIA ELEM. COMM. ED. CTR. (4420),2011,185,0,99.5,0.5,0,0,92.7
COLUMBIA ELEM. COMM. ED. CTR. (4420),2010,179,0.6,99.4,0,0,0,*
COLUMBIA ELEM. COMM. ED. CTR. (4420),2009,200,0.5,99.5,0,0,0,74.9
COLUMBIA ELEM. COMM. ED. CTR. (4420),2008,193,0,100,0,0,0,60.8
COMMUNITY ACCESS JOB TRAINING (1222),2015,136,2.9,73.5,2.9,0.7,19.9,*
COMMUNITY ACCESS JOB TRAINING (1222),2014,119,2.5,68.9,2.5,0,26.1,87.5
COMMUNITY ACCESS JOB TRAINING (1222),2013,132,2.3,78.8,3,0,15.9,84.4
COMMUNITY ACCESS JOB TRAINING (1222),2012,123,2.4,80.5,0.8,0,16.3,87.6
COMMUNITY ACCESS JOB TRAINING (1222),2011,131,3.1,83.2,1.5,0,12.2,90.6
COMMUNITY ACCESS JOB TRAINING (1222),2010,141,0.7,81.6,1.4,0,16.3,86.7
COMMUNITY ACCESS JOB TRAINING (1222),2009,131,0.8,84.7,1.5,0,13,79.4
COMMUNITY ACCESS JOB TRAINING (1222),2008,145,0,85.5,1.4,0,13.1,71
COMPTON-DREW ILC MIDDLE (3390),2015,496,1.2,83.1,5.4,1,9.3,*
COMPTON-DREW ILC MIDDLE (3390),2014,522,2.3,80.7,5.7,1,10.3,86.5
COMPTON-DREW ILC MIDDLE (3390),2013,535,3.4,77.9,4.9,1.3,12.5,82.4
COMPTON-DREW ILC MIDDLE (3390),2012,531,2.6,77,5.6,0.6,14.1,81.5
COMPTON-DREW ILC MIDDLE (3390),2011,470,1.7,76.2,4.3,0.9,17,78
COMPTON-DREW ILC MIDDLE (3390),2010,427,1.4,70.7,5.4,0.5,22,77.3
COMPTON-DREW ILC MIDDLE (3390),2009,415,2.7,69.6,3.6,0.7,23.4,74.1
COMPTON-DREW ILC MIDDLE (3390),2008,439,1.1,72,3.2,0.7,23,76.6
COTE BRILLIANTE ELEM. (4440),2015,235,0,98.3,0,0,1.7,*
COTE BRILLIANTE ELEM. (4440),2014,216,0,99.1,0,0,0.9,*
COTE BRILLIANTE ELEM. (4440),2013,175,0,99.4,0.6,0,0,*
COTE BRILLIANTE ELEM. (4440),2012,166,0,95.8,2.4,0,1.8,*
COTE BRILLIANTE ELEM. (4440),2011,178,0.6,97.8,0,0,1.7,*
COTE BRILLIANTE ELEM. (4440),2010,204,0,99,0,0,1,93.9
COTE BRILLIANTE ELEM. (4440),2009,205,1.5,98.5,0,0,0,81.6
COTE BRILLIANTE ELEM. (4440),2008,261,2.7,96.9,0,0,0.4,81.3
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2015,371,1.1,81.4,10,0,7.5,*
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2014,378,0.5,78,10.8,0.3,10.3,87.6
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2013,418,0.5,74.4,11.7,1,12.4,86.8
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2012,411,1.2,73,10.9,0.7,14.1,87.1
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2011,426,2.8,67.6,12,0.5,17.1,80.6
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2010,427,4,65.1,9.4,0.2,21.3,76.8
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2009,441,5.9,62.6,7.9,0.7,22.9,57.6
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2008,414,6.3,63.5,8.2,1.7,20.3,62.7
DUNBAR AND BR. (4480),2015,194,0.5,99,0,0.5,0,*
DUNBAR AND BR. (4480),2014,203,0,100,0,0,0,*
DUNBAR AND BR. (4480),2013,202,0,100,0,0,0,*
DUNBAR AND BR. (4480),2012,198,0,100,0,0,0,*
DUNBAR AND BR. (4480),2011,188,0,100,0,0,0,*
DUNBAR AND BR. (4480),2010,193,0.5,99.5,0,0,0,93.7
DUNBAR AND BR. (4480),2009,241,0,99.6,0,0,0.4,73.5
DUNBAR AND BR. (4480),2008,232,0.4,99.1,0,0,0.4,74.8
EARL NANCE SR. ELEM. (5610),2015,335,0,99.7,0,0,0.3,*
EARL NANCE SR. ELEM. (5610),2014,383,0,99.7,0,0,0.3,94.2
EARL NANCE SR. ELEM. (5610),2013,361,0,99.7,0,0,0.3,*
EARL NANCE SR. ELEM. (5610),2012,355,0,99.7,0,0,0.3,93.7
EARL NANCE SR. ELEM. (5610),2011,400,0,99.8,0,0,0.3,86.5
EARL NANCE SR. ELEM. (5610),2010,359,0,99.7,0,0.3,0,87.9
EARL NANCE SR. ELEM. (5610),2009,307,0,99.7,0,0,0.3,74.6
EARL NANCE SR. ELEM. (5610),2008,286,0,100,0,0,0,83.1
ELIAS MICHAEL ELEM. (5520),2015,56,0,82.1,5.4,0,12.5,*
ELIAS MICHAEL ELEM. (5520),2014,58,1.7,81,8.6,0,8.6,91.4
ELIAS MICHAEL ELEM. (5520),2013,50,2,78,8,0,12,90.4
ELIAS MICHAEL ELEM. (5520),2012,54,1.9,81.5,5.6,0,11.1,89.1
ELIAS MICHAEL ELEM. (5520),2011,44,0,86.4,6.8,0,6.8,87.8
ELIAS MICHAEL ELEM. (5520),2010,45,0,88.9,4.4,0,6.7,80
ELIAS MICHAEL ELEM. (5520),2009,39,2.6,82.1,5.1,0,10.3,68.3
ELIAS MICHAEL ELEM. (5520),2008,36,2.8,80.6,2.8,0,13.9,68.8
EXTERNAL LOCATION (9990),2015,0,0,0,0,0,0,*
EXTERNAL LOCATION (9990),2014,0,0,0,0,0,0,*
EXTERNAL LOCATION (9990),2013,0,0,0,0,0,0,*
EXTERNAL LOCATION (9990),2012,0,0,0,0,0,0,*
EXTERNAL LOCATION (9990),2011,0,0,0,0,0,0,*
EXTERNAL LOCATION (9990),2010,0,0,0,0,0,0,*
EXTERNAL LOCATION (9990),2009,0,0,0,0,0,0,*
EXTERNAL LOCATION (9990),2008,0,0,0,0,0,0,*
FANNING MIDDLE COMMUNITY ED. (3140),2015,375,5.1,88.3,3.2,0,3.5,*
FANNING MIDDLE COMMUNITY ED. (3140),2014,389,6.7,85.9,3.6,0,3.9,*
FANNING MIDDLE COMMUNITY ED. (3140),2013,340,6.5,84.7,2.9,0,5.9,*
FANNING MIDDLE COMMUNITY ED. (3140),2012,374,6.1,83.2,5.6,0,5.1,*
FANNING MIDDLE COMMUNITY ED. (3140),2011,353,7.1,83,4,0,5.9,93.5
FANNING MIDDLE COMMUNITY ED. (3140),2010,378,6.6,86,2.1,0,5.3,87.8
FANNING MIDDLE COMMUNITY ED. (3140),2009,333,3.9,85,3.3,0,7.8,76.2
FANNING MIDDLE COMMUNITY ED. (3140),2008,289,6.2,80.6,4.2,0,9,82.7
FARRAGUT ELEM. (4580),2015,164,0,100,0,0,0,*
FARRAGUT ELEM. (4580),2014,185,0,100,0,0,0,92.8
FARRAGUT ELEM. (4580),2013,177,0,100,0,0,0,*
FARRAGUT ELEM. (4580),2012,166,0,100,0,0,0,*
FARRAGUT ELEM. (4580),2011,171,0.6,99.4,0,0,0,*
FARRAGUT ELEM. (4580),2010,174,0.6,99.4,0,0,0,*
FARRAGUT ELEM. (4580),2009,178,0,99.4,0,0,0.6,71.6
FARRAGUT ELEM. (4580),2008,202,0,100,0,0,0,82.4
FORD-FORD BR. ELEM. COMM. ED. (4630),2015,297,0,99.3,0.7,0,0,*
FORD-FORD BR. ELEM. COMM. ED. (4630),2014,249,0.4,99.2,0.4,0,0,*
FORD-FORD BR. ELEM. COMM. ED. (4630),2013,207,0.5,99.5,0,0,0,*
FORD-FORD BR. ELEM. COMM. ED. (4630),2012,214,0,99.5,0,0,0.5,*
FORD-FORD BR. ELEM. COMM. ED. (4630),2011,289,0,97.2,0,0,2.8,*
FORD-FORD BR. ELEM. COMM. ED. (4630),2010,356,0,98.9,0,0,1.1,94.3
FORD-FORD BR. ELEM. COMM. ED. (4630),2009,291,0,99.7,0,0,0.3,83.5
FORD-FORD BR. ELEM. COMM. ED. (4630),2008,288,0.7,99,0,0,0.3,87.3
FROEBEL ELEM. (4660),2015,316,2.2,93,1.3,1.3,2.2,*
FROEBEL ELEM. (4660),2014,350,3.4,92.6,0.9,0.6,2.6,*
FROEBEL ELEM. (4660),2013,326,4.9,87.4,1.8,0.6,5.2,*
FROEBEL ELEM. (4660),2012,285,4.2,88.8,1.1,0.7,5.3,*
FROEBEL ELEM. (4660),2011,300,3.7,88,2.3,0,6,*
FROEBEL ELEM. (4660),2010,337,1.8,88.1,3.6,0,6.5,90.9
FROEBEL ELEM. (4660),2009,262,2.7,89.3,1.5,0.4,6.1,75.7
FROEBEL ELEM. (4660),2008,273,2.2,87.9,2.6,0,7.3,77.6
GALLAUDET SCH. FOR DEAF ELEM. (4720),2011,0,0,0,0,0,0,*
GALLAUDET SCH. FOR DEAF ELEM. (4720),2010,47,4.3,74.5,4.3,0,17,88.9
GALLAUDET SCH. FOR DEAF ELEM. (4720),2009,41,0,78,2.4,0,19.5,80
GALLAUDET SCH. FOR DEAF ELEM. (4720),2008,41,4.9,82.9,0,0,12.2,71.4
GATEWAY ELEM. (4730),2015,511,0.4,94.3,2.9,0,2.3,*
GATEWAY ELEM. (4730),2014,540,0.6,94.3,2.8,0,2.4,93.3
GATEWAY ELEM. (4730),2013,545,0.9,93.8,2.9,0.2,2.2,93.1
GATEWAY ELEM. (4730),2012,509,1.8,89.6,3.3,0.2,5.1,91
GATEWAY ELEM. (4730),2011,436,2.1,86.2,2.8,1.1,7.8,88.3
GATEWAY ELEM. (4730),2010,462,3,80.3,3,1.9,11.7,88.5
GATEWAY ELEM. (4730),2009,443,3.8,75.6,4.5,2.5,13.5,78.8
