"","School.Name","CONTENT_AREA","CATEGORY","TYPE","GRADE_SUBJECT","YEAR","ACCOUNTABLE","PARTICIPANT","REPORTABLE","LEVEL_NOT_DETERMINED","LEVEL_NOT_DETERMINED_PCT","BELOW_BASIC","BELOW_BASIC_PCT","BASIC","BASIC_PCT","PROFICIENT","PROFICIENT_PCT","ADVANCED","ADVANCED_PCT","MAP_INDEX","MEAN_SCALE_SCORE","MEDIAN_TERRANOVA"
"32","District Overall","Science","Total","Total","Fifth Grade",2015,1717,NA,1717,NA,NA,591,34.4,781,45.5,217,12.6,128,7.5,NA,637.6,"--"
"33","District Overall","Science","Total","Total","Eighth Grade",2015,1511,NA,1510,NA,NA,770,51,476,31.5,209,13.8,55,NA,NA,665.9,"--"
"34","District Overall","Science","Total","Total","Eleventh Grade",2015,60,NA,54,NA,10,NA,NA,NA,5.6,22,40.7,28,51.9,NA,0,"--"
"35","ACAD OF ENVT SCI/MATH ELEM  (4990)","Eng. Language Arts","Total","Total","Third Grade",2015,60,NA,60,NA,NA,29,48.3,18,30,12,20,NA,NA,NA,2374.2,"--"
"36","ACAD OF ENVT SCI/MATH ELEM  (4990)","Eng. Language Arts","Total","Total","Fourth Grade",2015,64,NA,64,NA,NA,36,56.3,12,18.8,NA,14.1,NA,10.9,NA,2403.9,"--"
"37","ACAD OF ENVT SCI/MATH ELEM  (4990)","Eng. Language Arts","Total","Total","Fifth Grade",2015,59,NA,59,NA,NA,32,54.2,21,35.6,NA,10.2,NA,NA,NA,2428.4,"--"
"38","ACAD OF ENVT SCI/MATH ELEM  (4990)","Mathematics","Total","Total","Third Grade",2015,60,NA,60,NA,NA,34,56.7,19,31.7,NA,11.7,NA,NA,NA,2364.2,"--"
"39","ACAD OF ENVT SCI/MATH ELEM  (4990)","Mathematics","Total","Total","Fourth Grade",2015,63,NA,63,NA,NA,38,60.3,19,30.2,NA,9.5,NA,NA,NA,2389.4,"--"
"40","ACAD OF ENVT SCI/MATH ELEM  (4990)","Mathematics","Total","Total","Fifth Grade",2015,59,NA,59,NA,NA,50,84.7,NA,15.3,NA,NA,NA,NA,NA,2397.9,"--"
"41","ACAD OF ENVT SCI/MATH ELEM  (4990)","Science","Total","Total","Fifth Grade",2015,59,NA,59,NA,NA,31,52.5,28,47.5,NA,NA,NA,NA,NA,620.7,"--"
"42","ACAD OF ENVT SCI/MATH MIDDLE  (3250)","Eng. Language Arts","Total","Total","Sixth Grade",2015,85,NA,85,NA,NA,50,58.8,21,24.7,13,15.3,NA,NA,NA,2447,"--"
"43","ACAD OF ENVT SCI/MATH MIDDLE  (3250)","Eng. Language Arts","Total","Total","Seventh Grade",2015,90,NA,90,NA,NA,40,44.4,29,32.2,19,21.1,NA,NA,NA,2488.1,"--"
"44","ACAD OF ENVT SCI/MATH MIDDLE  (3250)","Eng. Language Arts","Total","Total","Eighth Grade",2015,74,NA,74,NA,NA,47,63.5,24,32.4,NA,NA,NA,NA,NA,2466.7,"--"
"45","ACAD OF ENVT SCI/MATH MIDDLE  (3250)","Mathematics","Total","Total","Sixth Grade",2015,85,NA,85,NA,NA,54,63.5,27,31.8,NA,NA,NA,NA,NA,2430.6,"--"
"46","ACAD OF ENVT SCI/MATH MIDDLE  (3250)","Mathematics","Total","Total","Seventh Grade",2015,90,NA,90,NA,NA,49,54.4,27,30,13,14.4,NA,NA,NA,2469.3,"--"
"47","ACAD OF ENVT SCI/MATH MIDDLE  (3250)","Mathematics","Total","Total","Eighth Grade",2015,74,NA,74,NA,NA,68,91.9,NA,6.8,NA,NA,NA,NA,NA,2430.3,"--"
"48","ACAD OF ENVT SCI/MATH MIDDLE  (3250)","Science","Total","Total","Eighth Grade",2015,74,NA,74,NA,NA,48,64.9,24,32.4,NA,NA,NA,NA,NA,657.4,"--"
"49","ADAMS ELEM.  (4000)","Eng. Language Arts","Total","Total","Third Grade",2015,48,NA,48,NA,NA,32,66.7,NA,18.8,NA,6.3,NA,8.3,NA,2345.7,"--"
"50","ADAMS ELEM.  (4000)","Eng. Language Arts","Total","Total","Fourth Grade",2015,40,NA,40,NA,NA,28,70,NA,10,NA,17.5,NA,NA,NA,2387.6,"--"
"51","ADAMS ELEM.  (4000)","Eng. Language Arts","Total","Total","Fifth Grade",2015,40,NA,40,NA,NA,24,60,11,27.5,NA,10,NA,NA,NA,2417.2,"--"
"52","ADAMS ELEM.  (4000)","Eng. Language Arts","Total","Total","Sixth Grade",2015,21,NA,21,NA,NA,15,71.4,NA,23.8,NA,NA,NA,NA,NA,2411.7,"--"
"53","ADAMS ELEM.  (4000)","Mathematics","Total","Total","Third Grade",2015,48,NA,48,NA,NA,27,56.3,13,27.1,NA,16.7,NA,NA,NA,2357.7,"--"
"54","ADAMS ELEM.  (4000)","Mathematics","Total","Total","Fourth Grade",2015,40,NA,40,NA,NA,24,60,12,30,NA,7.5,NA,NA,NA,2397.9,"--"
"55","ADAMS ELEM.  (4000)","Mathematics","Total","Total","Fifth Grade",2015,40,NA,40,NA,NA,25,62.5,12,30,NA,7.5,NA,NA,NA,2432.6,"--"
"56","ADAMS ELEM.  (4000)","Mathematics","Total","Total","Sixth Grade",2015,21,NA,21,NA,NA,19,90.5,NA,9.5,NA,NA,NA,NA,NA,2404,"--"
"57","ADAMS ELEM.  (4000)","Science","Total","Total","Fifth Grade",2015,40,NA,40,NA,NA,21,52.5,16,40,NA,5,NA,NA,NA,621,"--"
"58","AMES VISUAL/PERF. ARTS  (4250)","Eng. Language Arts","Total","Total","Third Grade",2015,59,NA,59,NA,NA,26,44.1,19,32.2,NA,6.8,10,16.9,NA,2382.6,"--"
"59","AMES VISUAL/PERF. ARTS  (4250)","Eng. Language Arts","Total","Total","Fourth Grade",2015,59,NA,59,NA,NA,29,49.2,15,25.4,13,22,NA,NA,NA,2415.5,"--"
"60","AMES VISUAL/PERF. ARTS  (4250)","Eng. Language Arts","Total","Total","Fifth Grade",2015,54,NA,54,NA,NA,19,35.2,20,37,11,20.4,NA,7.4,NA,2466.8,"--"
"61","AMES VISUAL/PERF. ARTS  (4250)","Mathematics","Total","Total","Third Grade",2015,59,NA,59,NA,NA,29,49.2,12,20.3,13,22,NA,8.5,NA,2387.7,"--"
"62","AMES VISUAL/PERF. ARTS  (4250)","Mathematics","Total","Total","Fourth Grade",2015,59,NA,59,NA,NA,15,25.4,34,57.6,10,16.9,NA,NA,NA,2437.6,"--"
"63","AMES VISUAL/PERF. ARTS  (4250)","Mathematics","Total","Total","Fifth Grade",2015,54,NA,54,NA,NA,23,42.6,20,37,NA,13,NA,7.4,NA,2465.4,"--"
"64","AMES VISUAL/PERF. ARTS  (4250)","Science","Total","Total","Fifth Grade",2015,54,NA,54,NA,NA,20,37,28,51.9,NA,9.3,NA,NA,NA,635.5,"--"
"65","ASHLAND ELEM. AND BR.  (4060)","Eng. Language Arts","Total","Total","Third Grade",2015,45,NA,45,NA,NA,31,68.9,NA,17.8,NA,11.1,NA,NA,NA,2329.9,"--"
"66","ASHLAND ELEM. AND BR.  (4060)","Eng. Language Arts","Total","Total","Fourth Grade",2015,40,NA,40,NA,NA,28,70,NA,10,NA,12.5,NA,7.5,NA,2383.8,"--"
"67","ASHLAND ELEM. AND BR.  (4060)","Eng. Language Arts","Total","Total","Fifth Grade",2015,37,NA,37,NA,NA,16,43.2,NA,21.6,12,32.4,NA,NA,NA,2449.1,"--"
"68","ASHLAND ELEM. AND BR.  (4060)","Eng. Language Arts","Total","Total","Sixth Grade",2015,36,NA,36,NA,NA,26,72.2,NA,25,NA,NA,NA,NA,NA,2424,"--"
