"","Name","YEAR","ENROLLMENT","TotalNumberOfIncidents"
"443","HAMILTON ELEM. COMMUNITY ED. (4780)",2010,344,9
"444","HAMILTON ELEM. COMMUNITY ED. (4780)",2011,297,1
"445","HAMILTON ELEM. COMMUNITY ED. (4780)",2012,231,3
"446","HAMILTON ELEM. COMMUNITY ED. (4780)",2013,323,1
"447","HAMILTON ELEM. COMMUNITY ED. (4780)",2014,366,7
"448","HAMILTON ELEM. COMMUNITY ED. (4780)",2015,350,5
"449","HENRY ELEM. (4880)",2008,189,7
"450","HENRY ELEM. (4880)",2009,165,1
"451","HENRY ELEM. (4880)",2010,231,3
"452","HENRY ELEM. (4880)",2011,280,4
"453","HENRY ELEM. (4880)",2012,212,10
"454","HENRY ELEM. (4880)",2013,215,2
"455","HENRY ELEM. (4880)",2014,181,2
"456","HENRY ELEM. (4880)",2015,182,3
"457","HICKEY ELEM. (4890)",2008,225,0
"458","HICKEY ELEM. (4890)",2009,199,6
"459","HICKEY ELEM. (4890)",2010,260,3
"460","HICKEY ELEM. (4890)",2011,217,1
"461","HICKEY ELEM. (4890)",2012,207,0
"462","HICKEY ELEM. (4890)",2013,187,2
"463","HICKEY ELEM. (4890)",2014,212,1
"464","HICKEY ELEM. (4890)",2015,196,0
"465","HERZOG ELEM. (4900)",2008,247,13
"466","HERZOG ELEM. (4900)",2009,228,6
"467","HERZOG ELEM. (4900)",2010,387,21
"468","HERZOG ELEM. (4900)",2011,353,18
"469","HERZOG ELEM. (4900)",2012,369,12
"470","HERZOG ELEM. (4900)",2013,372,2
"471","HERZOG ELEM. (4900)",2014,389,6
"472","HERZOG ELEM. (4900)",2015,401,2
"473","HODGEN ELEM. (4920)",2008,201,2
"474","HODGEN ELEM. (4920)",2009,223,3
"475","HODGEN ELEM. (4920)",2010,223,8
"476","HODGEN ELEM. (4920)",2011,244,3
"477","HODGEN ELEM. (4920)",2012,233,1
"478","HODGEN ELEM. (4920)",2013,257,0
"479","HODGEN ELEM. (4920)",2014,280,2
"480","HODGEN ELEM. (4920)",2015,269,0
"481","JEFFERSON ELEM. (5020)",2008,286,3
"482","JEFFERSON ELEM. (5020)",2009,246,5
"483","JEFFERSON ELEM. (5020)",2010,214,4
"484","JEFFERSON ELEM. (5020)",2011,197,5
"485","JEFFERSON ELEM. (5020)",2012,202,4
"486","JEFFERSON ELEM. (5020)",2013,217,2
"487","JEFFERSON ELEM. (5020)",2014,214,2
"488","JEFFERSON ELEM. (5020)",2015,203,3
"489","KENNARD/CLASSICAL JR. ACAD. (5030)",2008,368,0
"490","KENNARD/CLASSICAL JR. ACAD. (5030)",2009,350,0
"491","KENNARD/CLASSICAL JR. ACAD. (5030)",2010,388,1
"492","KENNARD/CLASSICAL JR. ACAD. (5030)",2011,348,0
"493","KENNARD/CLASSICAL JR. ACAD. (5030)",2012,312,0
"494","KENNARD/CLASSICAL JR. ACAD. (5030)",2013,344,0
"495","KENNARD/CLASSICAL JR. ACAD. (5030)",2014,369,0
"496","KENNARD/CLASSICAL JR. ACAD. (5030)",2015,357,0
"497","LACLEDE ELEM. (5060)",2008,258,6
"498","LACLEDE ELEM. (5060)",2009,246,2
"499","LACLEDE ELEM. (5060)",2010,256,3
"500","LACLEDE ELEM. (5060)",2011,245,0
"501","LACLEDE ELEM. (5060)",2012,183,0
"502","LACLEDE ELEM. (5060)",2013,212,1
"503","LACLEDE ELEM. (5060)",2014,248,2
"504","LACLEDE ELEM. (5060)",2015,280,5
"505","LEXINGTON ELEM. (5100)",2008,285,4
"506","LEXINGTON ELEM. (5100)",2009,250,17
"507","LEXINGTON ELEM. (5100)",2010,254,2
"508","LEXINGTON ELEM. (5100)",2011,214,0
"509","LEXINGTON ELEM. (5100)",2012,255,0
"510","LEXINGTON ELEM. (5100)",2013,256,1
"511","LEXINGTON ELEM. (5100)",2014,321,3
"512","LEXINGTON ELEM. (5100)",2015,339,4
"513","LYON AT BLOW ELEM. (5180)",2008,152,2
"514","LYON AT BLOW ELEM. (5180)",2009,334,16
"515","LYON AT BLOW ELEM. (5180)",2010,342,6
"516","LYON AT BLOW ELEM. (5180)",2011,384,17
"517","LYON AT BLOW ELEM. (5180)",2012,406,38
"518","LYON AT BLOW ELEM. (5180)",2013,352,8
"519","LYON AT BLOW ELEM. (5180)",2014,389,8
"520","LYON AT BLOW ELEM. (5180)",2015,387,11
"521","MALLINCKRODT A.B.I. ELEM. (5240)",2008,229,0
"522","MALLINCKRODT A.B.I. ELEM. (5240)",2009,206,0
"523","MALLINCKRODT A.B.I. ELEM. (5240)",2010,187,0
"524","MALLINCKRODT A.B.I. ELEM. (5240)",2011,178,1
"525","MALLINCKRODT A.B.I. ELEM. (5240)",2012,193,0
"526","MALLINCKRODT A.B.I. ELEM. (5240)",2013,253,0
"527","MALLINCKRODT A.B.I. ELEM. (5240)",2014,250,0
"528","MALLINCKRODT A.B.I. ELEM. (5240)",2015,241,0
"529","MANN ELEM. (5260)",2008,210,1
"530","MANN ELEM. (5260)",2009,247,0
"531","MANN ELEM. (5260)",2010,243,1
"532","MANN ELEM. (5260)",2011,207,6
"533","MANN ELEM. (5260)",2012,220,2
"534","MANN ELEM. (5260)",2013,222,5
"535","MANN ELEM. (5260)",2014,274,0
"536","MANN ELEM. (5260)",2015,310,2
"537","MARK TWAIN ELEM. (5280)",2008,187,5
"538","MARK TWAIN ELEM. (5280)",2009,216,5
"539","MARK TWAIN ELEM. (5280)",NA,NA,NA
"540","MARK TWAIN ELEM. (5280)",NA,NA,NA
"541","MARK TWAIN ELEM. (5280)",NA,NA,NA
"542","MARK TWAIN ELEM. (5280)",NA,NA,NA
"543","MARK TWAIN ELEM. (5280)",NA,NA,NA
"544","MARK TWAIN ELEM. (5280)",NA,NA,NA
"545","MASON ELEM. (5340)",2008,303,2
"546","MASON ELEM. (5340)",2009,273,1
"547","MASON ELEM. (5340)",2010,264,1
"548","MASON ELEM. (5340)",2011,306,1
"549","MASON ELEM. (5340)",2012,326,0
"550","MASON ELEM. (5340)",2013,387,0
"551","MASON ELEM. (5340)",2014,393,0
"552","MASON ELEM. (5340)",2015,414,0
"553","MERAMEC ELEM. (5500)",2008,208,4
"554","MERAMEC ELEM. (5500)",2009,182,5
"555","MERAMEC ELEM. (5500)",2010,211,5
"556","MERAMEC ELEM. (5500)",2011,226,7
"557","MERAMEC ELEM. (5500)",2012,208,1
"558","MERAMEC ELEM. (5500)",2013,251,0
"559","MERAMEC ELEM. (5500)",2014,230,1
"560","MERAMEC ELEM. (5500)",2015,232,5
"561","ELIAS MICHAEL ELEM. (5520)",2008,36,0
"562","ELIAS MICHAEL ELEM. (5520)",2009,39,0
"563","ELIAS MICHAEL ELEM. (5520)",2010,45,0
"564","ELIAS MICHAEL ELEM. (5520)",2011,44,0
"565","ELIAS MICHAEL ELEM. (5520)",2012,54,0
"566","ELIAS MICHAEL ELEM. (5520)",2013,50,0
"567","ELIAS MICHAEL ELEM. (5520)",2014,58,0
"568","ELIAS MICHAEL ELEM. (5520)",2015,56,0
"569","MITCHELL ELEM. (5540)",2008,243,5
"570","MITCHELL ELEM. (5540)",NA,NA,NA
"571","MITCHELL ELEM. (5540)",NA,NA,NA
"572","MITCHELL ELEM. (5540)",NA,NA,NA
"573","MITCHELL ELEM. (5540)",NA,NA,NA
"574","MITCHELL ELEM. (5540)",NA,NA,NA
"575","MITCHELL ELEM. (5540)",NA,NA,NA
"576","MITCHELL ELEM. (5540)",NA,NA,NA
"577","MONROE ELEM. (5560)",2008,276,3
"578","MONROE ELEM. (5560)",2009,181,1
"579","MONROE ELEM. (5560)",2010,219,0
"580","MONROE ELEM. (5560)",2011,236,1
"581","MONROE ELEM. (5560)",2012,242,7
"582","MONROE ELEM. (5560)",2013,311,2
"583","MONROE ELEM. (5560)",2014,310,3
"584","MONROE ELEM. (5560)",2015,311,0
"585","MULLANPHY BOTANICAL GARDENS (5590)",2008,396,1
"586","MULLANPHY BOTANICAL GARDENS (5590)",2009,412,1
"587","MULLANPHY BOTANICAL GARDENS (5590)",2010,416,0
"588","MULLANPHY BOTANICAL GARDENS (5590)",2011,364,0
"589","MULLANPHY BOTANICAL GARDENS (5590)",2012,355,0
"590","MULLANPHY BOTANICAL GARDENS (5590)",2013,418,0
"591","MULLANPHY BOTANICAL GARDENS (5590)",2014,403,0
"592","MULLANPHY BOTANICAL GARDENS (5590)",2015,379,3
"593","OAK HILL ELEM. (5600)",2008,327,4
"594","OAK HILL ELEM. (5600)",2009,290,1
"595","OAK HILL ELEM. (5600)",2010,347,5
"596","OAK HILL ELEM. (5600)",2011,368,0
"597","OAK HILL ELEM. (5600)",2012,352,0
"598","OAK HILL ELEM. (5600)",2013,362,0
"599","OAK HILL ELEM. (5600)",2014,324,0
"600","OAK HILL ELEM. (5600)",2015,314,0
"601","EARL NANCE SR. ELEM. (5610)",2008,286,3
"602","EARL NANCE SR. ELEM. (5610)",2009,307,2
"603","EARL NANCE SR. ELEM. (5610)",2010,359,8
"604","EARL NANCE SR. ELEM. (5610)",2011,400,2
"605","EARL NANCE SR. ELEM. (5610)",2012,355,0
"606","EARL NANCE SR. ELEM. (5610)",2013,361,0
"607","EARL NANCE SR. ELEM. (5610)",2014,383,8
"608","EARL NANCE SR. ELEM. (5610)",2015,335,7
"609","PEABODY ELEM. (5620)",2008,281,4
"610","PEABODY ELEM. (5620)",2009,260,6
"611","PEABODY ELEM. (5620)",2010,272,6
"612","PEABODY ELEM. (5620)",2011,314,5
"613","PEABODY ELEM. (5620)",2012,258,9
"614","PEABODY ELEM. (5620)",2013,293,1
"615","PEABODY ELEM. (5620)",2014,307,3
"616","PEABODY ELEM. (5620)",2015,226,10
"617","SCRUGGS ELEM. (5740)",2008,272,5
"618","SCRUGGS ELEM. (5740)",2009,210,3
"619","SCRUGGS ELEM. (5740)",NA,NA,NA
"620","SCRUGGS ELEM. (5740)",NA,NA,NA
"621","SCRUGGS ELEM. (5740)",NA,NA,NA
"622","SCRUGGS ELEM. (5740)",NA,NA,NA
"623","SCRUGGS ELEM. (5740)",NA,NA,NA
"624","SCRUGGS ELEM. (5740)",NA,NA,NA
"625","SHAW VISUAL/PERF. ARTS CTR. (5780)",2008,312,0
"626","SHAW VISUAL/PERF. ARTS CTR. (5780)",2009,325,0
"627","SHAW VISUAL/PERF. ARTS CTR. (5780)",2010,323,0
"628","SHAW VISUAL/PERF. ARTS CTR. (5780)",2011,318,3
"629","SHAW VISUAL/PERF. ARTS CTR. (5780)",2012,349,6
"630","SHAW VISUAL/PERF. ARTS CTR. (5780)",2013,385,0
"631","SHAW VISUAL/PERF. ARTS CTR. (5780)",2014,372,1
"632","SHAW VISUAL/PERF. ARTS CTR. (5780)",2015,384,2
"633","SHENANDOAH ELEM. (5800)",2008,112,1
"634","SHENANDOAH ELEM. (5800)",2009,115,0
"635","SHENANDOAH ELEM. (5800)",2010,122,0
"636","SHENANDOAH ELEM. (5800)",2011,129,0
"637","SHENANDOAH ELEM. (5800)",2012,141,3
"638","SHENANDOAH ELEM. (5800)",2013,158,1
"639","SHENANDOAH ELEM. (5800)",2014,170,0
"640","SHENANDOAH ELEM. (5800)",2015,183,2
"641","SHEPARD ELEM. (5820)",2008,229,1
"642","SHEPARD ELEM. (5820)",2009,139,0
"643","SHEPARD ELEM. (5820)",NA,NA,NA
"644","SHEPARD ELEM. (5820)",NA,NA,NA
"645","SHEPARD ELEM. (5820)",NA,NA,NA
"646","SHEPARD ELEM. (5820)",NA,NA,NA
"647","SHEPARD ELEM. (5820)",NA,NA,NA
"648","SHEPARD ELEM. (5820)",NA,NA,NA
"649","SHERMAN ELEM. COMM. ED. CTR. (5840)",2008,174,1
"650","SHERMAN ELEM. COMM. ED. CTR. (5840)",2009,171,0
"651","SHERMAN ELEM. COMM. ED. CTR. (5840)",2010,143,1
"652","SHERMAN ELEM. COMM. ED. CTR. (5840)",2011,125,0
"653","SHERMAN ELEM. COMM. ED. CTR. (5840)",2012,124,1
"654","SHERMAN ELEM. COMM. ED. CTR. (5840)",2013,157,2
"655","SHERMAN ELEM. COMM. ED. CTR. (5840)",2014,0,0
"656","SHERMAN ELEM. COMM. ED. CTR. (5840)",NA,NA,NA
"657","SIGEL ELEM. COMM. ED. CTR. (5860)",2008,200,0
"658","SIGEL ELEM. COMM. ED. CTR. (5860)",2009,252,2
"659","SIGEL ELEM. COMM. ED. CTR. (5860)",2010,241,14
"660","SIGEL ELEM. COMM. ED. CTR. (5860)",2011,256,0
"661","SIGEL ELEM. COMM. ED. CTR. (5860)",2012,262,5
"662","SIGEL ELEM. COMM. ED. CTR. (5860)",2013,250,1
"663","SIGEL ELEM. COMM. ED. CTR. (5860)",2014,277,0
"664","SIGEL ELEM. COMM. ED. CTR. (5860)",2015,259,0
"665","SIMMONS ELEM. (5880)",2008,222,2
"666","SIMMONS ELEM. (5880)",2009,292,0
"667","SIMMONS ELEM. (5880)",NA,NA,NA
"668","SIMMONS ELEM. (5880)",NA,NA,NA
"669","SIMMONS ELEM. (5880)",NA,NA,NA
"670","SIMMONS ELEM. (5880)",NA,NA,NA
"671","SIMMONS ELEM. (5880)",NA,NA,NA
"672","SIMMONS ELEM. (5880)",NA,NA,NA
"673","STIX EARLY CHILDHOOD CTR. (5930)",2008,328,0
"674","STIX EARLY CHILDHOOD CTR. (5930)",2009,307,0
"675","STIX EARLY CHILDHOOD CTR. (5930)",2010,308,0
"676","STIX EARLY CHILDHOOD CTR. (5930)",2011,367,0
"677","STIX EARLY CHILDHOOD CTR. (5930)",2012,340,0
"678","STIX EARLY CHILDHOOD CTR. (5930)",2013,350,0
"679","STIX EARLY CHILDHOOD CTR. (5930)",2014,342,0
"680","STIX EARLY CHILDHOOD CTR. (5930)",2015,330,0
"681","WALBRIDGE ELEM. COMMUNITY ED. (5960)",2008,276,4
"682","WALBRIDGE ELEM. COMMUNITY ED. (5960)",2009,267,2
"683","WALBRIDGE ELEM. COMMUNITY ED. (5960)",2010,379,13
"684","WALBRIDGE ELEM. COMMUNITY ED. (5960)",2011,335,14
"685","WALBRIDGE ELEM. COMMUNITY ED. (5960)",2012,206,14
"686","WALBRIDGE ELEM. COMMUNITY ED. (5960)",2013,228,5
"687","WALBRIDGE ELEM. COMMUNITY ED. (5960)",2014,227,0
"688","WALBRIDGE ELEM. COMMUNITY ED. (5960)",2015,158,2
"689","WOERNER ELEM. (5970)",2008,380,1
"690","WOERNER ELEM. (5970)",2009,369,2
"691","WOERNER ELEM. (5970)",2010,402,7
"692","WOERNER ELEM. (5970)",2011,358,6
"693","WOERNER ELEM. (5970)",2012,362,4
"694","WOERNER ELEM. (5970)",2013,366,3
"695","WOERNER ELEM. (5970)",2014,364,0
"696","WOERNER ELEM. (5970)",2015,382,1
"697","WASHINGTON MONTESSORI (6010)",2008,285,0
"698","WASHINGTON MONTESSORI (6010)",2009,284,0
"699","WASHINGTON MONTESSORI (6010)",2010,324,1
"700","WASHINGTON MONTESSORI (6010)",2011,332,0
"701","WASHINGTON MONTESSORI (6010)",2012,327,0
"702","WASHINGTON MONTESSORI (6010)",2013,321,0
"703","WASHINGTON MONTESSORI (6010)",2014,324,0
"704","WASHINGTON MONTESSORI (6010)",2015,307,0
"705","WILKINSON EARLY CHILDHOOD CTR. (6030)",2008,140,0
"706","WILKINSON EARLY CHILDHOOD CTR. (6030)",2009,154,0
"707","WILKINSON EARLY CHILDHOOD CTR. (6030)",2010,137,0
"708","WILKINSON EARLY CHILDHOOD CTR. (6030)",2011,118,0
"709","WILKINSON EARLY CHILDHOOD CTR. (6030)",2012,117,0
"710","WILKINSON EARLY CHILDHOOD CTR. (6030)",2013,199,0
"711","WILKINSON EARLY CHILDHOOD CTR. (6030)",2014,204,0
"712","WILKINSON EARLY CHILDHOOD CTR. (6030)",2015,177,0
"713","WOODWARD ELEM. (6120)",2008,304,0
"714","WOODWARD ELEM. (6120)",2009,283,0
"715","WOODWARD ELEM. (6120)",2010,322,1
"716","WOODWARD ELEM. (6120)",2011,289,8
"717","WOODWARD ELEM. (6120)",2012,268,0
"718","WOODWARD ELEM. (6120)",2013,265,1
"719","WOODWARD ELEM. (6120)",2014,345,5
"720","WOODWARD ELEM. (6120)",2015,358,0
"721","WYMAN ELEM. (6140)",2008,201,7
"722","WYMAN ELEM. (6140)",NA,NA,NA
"723","WYMAN ELEM. (6140)",NA,NA,NA
"724","WYMAN ELEM. (6140)",NA,NA,NA
"725","WYMAN ELEM. (6140)",NA,NA,NA
"726","WYMAN ELEM. (6140)",NA,NA,NA
"727","WYMAN ELEM. (6140)",NA,NA,NA
"728","WYMAN ELEM. (6140)",NA,NA,NA
"729","CARDINAL GLENNON HOSPITAL (6280)",2008,10,0
"730","CARDINAL GLENNON HOSPITAL (6280)",2009,0,0
"731","CARDINAL GLENNON HOSPITAL (6280)",2010,0,0
"732","CARDINAL GLENNON HOSPITAL (6280)",2011,0,0
"733","CARDINAL GLENNON HOSPITAL (6280)",2012,0,0
"734","CARDINAL GLENNON HOSPITAL (6280)",2013,0,0
"735","CARDINAL GLENNON HOSPITAL (6280)",2014,0,0
"736","CARDINAL GLENNON HOSPITAL (6280)",2015,0,0
"737","ST. LOUIS CHILDREN'S HOSPITAL (6340)",2008,19,0
"738","ST. LOUIS CHILDREN'S HOSPITAL (6340)",2009,0,0
"739","ST. LOUIS CHILDREN'S HOSPITAL (6340)",2010,1,0
"740","ST. LOUIS CHILDREN'S HOSPITAL (6340)",2011,14,0
"741","ST. LOUIS CHILDREN'S HOSPITAL (6340)",2012,11,0
"742","ST. LOUIS CHILDREN'S HOSPITAL (6340)",2013,9,0
"743","ST. LOUIS CHILDREN'S HOSPITAL (6340)",2014,12,0
"744","ST. LOUIS CHILDREN'S HOSPITAL (6340)",2015,23,0
"745","MEDA P. WASHINGTON EARLY CHILD (7500)",2008,0,0
"746","MEDA P. WASHINGTON EARLY CHILD (7500)",2009,0,0
"747","MEDA P. WASHINGTON EARLY CHILD (7500)",NA,NA,NA
"748","MEDA P. WASHINGTON EARLY CHILD (7500)",NA,NA,NA
"749","MEDA P. WASHINGTON EARLY CHILD (7500)",NA,NA,NA
"750","MEDA P. WASHINGTON EARLY CHILD (7500)",NA,NA,NA
"751","MEDA P. WASHINGTON EARLY CHILD (7500)",NA,NA,NA
"752","MEDA P. WASHINGTON EARLY CHILD (7500)",NA,NA,NA
"753","EXTERNAL LOCATION (9990)",2008,0,0
"754","EXTERNAL LOCATION (9990)",2009,0,0
"755","EXTERNAL LOCATION (9990)",2010,0,0
"756","EXTERNAL LOCATION (9990)",2011,0,0
"757","EXTERNAL LOCATION (9990)",2012,0,0
"758","EXTERNAL LOCATION (9990)",2013,0,0
"759","EXTERNAL LOCATION (9990)",2014,0,0
"760","EXTERNAL LOCATION (9990)",2015,0,0
"761","VO. TECH. TUITION (9995)",2008,0,0
"762","VO. TECH. TUITION (9995)",2009,0,0
"763","VO. TECH. TUITION (9995)",2010,0,0
"764","VO. TECH. TUITION (9995)",2011,0,0
"765","VO. TECH. TUITION (9995)",2012,0,0
"766","VO. TECH. TUITION (9995)",2013,0,0
"767","VO. TECH. TUITION (9995)",2014,0,0
"768","VO. TECH. TUITION (9995)",2015,0,0
"769","HUMBOLDT ACAD OF HIGHER LRNING (4960)",NA,NA,NA
"770","HUMBOLDT ACAD OF HIGHER LRNING (4960)",NA,NA,NA
"771","HUMBOLDT ACAD OF HIGHER LRNING (4960)",NA,NA,NA
"772","HUMBOLDT ACAD OF HIGHER LRNING (4960)",NA,NA,NA
"773","HUMBOLDT ACAD OF HIGHER LRNING (4960)",2012,166,0
"774","HUMBOLDT ACAD OF HIGHER LRNING (4960)",2013,280,0
"775","HUMBOLDT ACAD OF HIGHER LRNING (4960)",2014,298,0
"776","HUMBOLDT ACAD OF HIGHER LRNING (4960)",2015,315,0
"777","THE COLLEGE PREPARATORY HIGH (1550)",NA,NA,NA
"778","THE COLLEGE PREPARATORY HIGH (1550)",NA,NA,NA
"779","THE COLLEGE PREPARATORY HIGH (1550)",NA,NA,NA
"780","THE COLLEGE PREPARATORY HIGH (1550)",NA,NA,NA
"781","THE COLLEGE PREPARATORY HIGH (1550)",NA,NA,NA
"782","THE COLLEGE PREPARATORY HIGH (1550)",2013,437,9
"783","THE COLLEGE PREPARATORY HIGH (1550)",2014,375,13
"784","THE COLLEGE PREPARATORY HIGH (1550)",2015,290,8
"785","ACAD OF ENVT SCI/MATH MIDDLE (3250)",NA,NA,NA
"786","ACAD OF ENVT SCI/MATH MIDDLE (3250)",NA,NA,NA
"787","ACAD OF ENVT SCI/MATH MIDDLE (3250)",NA,NA,NA
"788","ACAD OF ENVT SCI/MATH MIDDLE (3250)",NA,NA,NA
"789","ACAD OF ENVT SCI/MATH MIDDLE (3250)",NA,NA,NA
"790","ACAD OF ENVT SCI/MATH MIDDLE (3250)",2013,409,8
"791","ACAD OF ENVT SCI/MATH MIDDLE (3250)",2014,306,34
"792","ACAD OF ENVT SCI/MATH MIDDLE (3250)",2015,282,18
"793","ACAD OF ENVT SCI/MATH ELEM (4990)",NA,NA,NA
"794","ACAD OF ENVT SCI/MATH ELEM (4990)",NA,NA,NA
"795","ACAD OF ENVT SCI/MATH ELEM (4990)",NA,NA,NA
"796","ACAD OF ENVT SCI/MATH ELEM (4990)",NA,NA,NA
"797","ACAD OF ENVT SCI/MATH ELEM (4990)",NA,NA,NA
"798","ACAD OF ENVT SCI/MATH ELEM (4990)",2013,786,5
"799","ACAD OF ENVT SCI/MATH ELEM (4990)",2014,505,2
"800","ACAD OF ENVT SCI/MATH ELEM (4990)",2015,328,9
"801","COLLEGIATE SCHOOL OF MED/BIO (1510)",NA,NA,NA
"802","COLLEGIATE SCHOOL OF MED/BIO (1510)",NA,NA,NA
"803","COLLEGIATE SCHOOL OF MED/BIO (1510)",NA,NA,NA
"804","COLLEGIATE SCHOOL OF MED/BIO (1510)",NA,NA,NA
"805","COLLEGIATE SCHOOL OF MED/BIO (1510)",NA,NA,NA
"806","COLLEGIATE SCHOOL OF MED/BIO (1510)",NA,NA,NA
"807","COLLEGIATE SCHOOL OF MED/BIO (1510)",2014,61,0
"808","COLLEGIATE SCHOOL OF MED/BIO (1510)",2015,110,0
