"","Name","YEAR","ENROLLMENT","TotalNumberOfIncidents"
"98","MCKINLEY CLASS. LEADERSHIP AC. (1570)",2009,45,0
"99","MCKINLEY CLASS. LEADERSHIP AC. (1570)",2010,58,1
"100","MCKINLEY CLASS. LEADERSHIP AC. (1570)",2011,430,3
"101","MCKINLEY CLASS. LEADERSHIP AC. (1570)",2012,402,4
"102","MCKINLEY CLASS. LEADERSHIP AC. (1570)",2013,411,1
"103","MCKINLEY CLASS. LEADERSHIP AC. (1570)",2014,474,3
"104","MCKINLEY CLASS. LEADERSHIP AC. (1570)",2015,535,3
"105","VASHON 9TH GRADE CTR. (1600)",2008,212,99
"106","VASHON 9TH GRADE CTR. (1600)",NA,NA,NA
"107","VASHON 9TH GRADE CTR. (1600)",NA,NA,NA
"108","VASHON 9TH GRADE CTR. (1600)",NA,NA,NA
"109","VASHON 9TH GRADE CTR. (1600)",NA,NA,NA
"110","VASHON 9TH GRADE CTR. (1600)",NA,NA,NA
"111","VASHON 9TH GRADE CTR. (1600)",NA,NA,NA
"112","VASHON 9TH GRADE CTR. (1600)",NA,NA,NA
"113","ROOSEVELT 9TH GRADE CTR. (1640)",2008,417,209
"114","ROOSEVELT 9TH GRADE CTR. (1640)",2009,308,98
"115","ROOSEVELT 9TH GRADE CTR. (1640)",NA,NA,NA
"116","ROOSEVELT 9TH GRADE CTR. (1640)",NA,NA,NA
"117","ROOSEVELT 9TH GRADE CTR. (1640)",NA,NA,NA
"118","ROOSEVELT 9TH GRADE CTR. (1640)",NA,NA,NA
"119","ROOSEVELT 9TH GRADE CTR. (1640)",NA,NA,NA
"120","ROOSEVELT 9TH GRADE CTR. (1640)",NA,NA,NA
"121","ROOSEVELT HIGH (1680)",2008,982,65
"122","ROOSEVELT HIGH (1680)",2009,1057,173
"123","ROOSEVELT HIGH (1680)",2010,1218,235
"124","ROOSEVELT HIGH (1680)",2011,1003,135
"125","ROOSEVELT HIGH (1680)",2012,879,139
"126","ROOSEVELT HIGH (1680)",2013,906,97
"127","ROOSEVELT HIGH (1680)",2014,776,97
"128","ROOSEVELT HIGH (1680)",2015,625,65
"129","SOLDAN INTERNATIONAL STUDIES (1730)",2008,677,32
"130","SOLDAN INTERNATIONAL STUDIES (1730)",2009,648,29
"131","SOLDAN INTERNATIONAL STUDIES (1730)",2010,749,23
"132","SOLDAN INTERNATIONAL STUDIES (1730)",2011,676,27
"133","SOLDAN INTERNATIONAL STUDIES (1730)",2012,624,12
"134","SOLDAN INTERNATIONAL STUDIES (1730)",2013,553,5
"135","SOLDAN INTERNATIONAL STUDIES (1730)",2014,559,13
"136","SOLDAN INTERNATIONAL STUDIES (1730)",2015,554,14
"137","SUMNER HIGH (1800)",2008,1016,178
"138","SUMNER HIGH (1800)",2009,948,118
"139","SUMNER HIGH (1800)",2010,878,121
"140","SUMNER HIGH (1800)",2011,586,73
"141","SUMNER HIGH (1800)",2012,521,67
"142","SUMNER HIGH (1800)",2013,576,52
"143","SUMNER HIGH (1800)",2014,579,59
"144","SUMNER HIGH (1800)",2015,440,121
"145","VASHON HIGH (1830)",2008,713,190
"146","VASHON HIGH (1830)",2009,818,244
"147","VASHON HIGH (1830)",2010,739,176
"148","VASHON HIGH (1830)",2011,658,150
"149","VASHON HIGH (1830)",2012,828,137
"150","VASHON HIGH (1830)",2013,900,89
"151","VASHON HIGH (1830)",2014,864,103
"152","VASHON HIGH (1830)",2015,645,173
"153","CENTRAL VISUAL/PERF. ARTS HIGH (1860)",2008,688,38
"154","CENTRAL VISUAL/PERF. ARTS HIGH (1860)",2009,781,71
"155","CENTRAL VISUAL/PERF. ARTS HIGH (1860)",2010,694,16
"156","CENTRAL VISUAL/PERF. ARTS HIGH (1860)",2011,522,17
"157","CENTRAL VISUAL/PERF. ARTS HIGH (1860)",2012,423,16
"158","CENTRAL VISUAL/PERF. ARTS HIGH (1860)",2013,388,14
"159","CENTRAL VISUAL/PERF. ARTS HIGH (1860)",2014,402,7
"160","CENTRAL VISUAL/PERF. ARTS HIGH (1860)",2015,396,0
"161","STOWE PREPARATORY JR. HIGH (2070)",2008,273,18
"162","STOWE PREPARATORY JR. HIGH (2070)",2009,253,36
"163","STOWE PREPARATORY JR. HIGH (2070)",NA,NA,NA
"164","STOWE PREPARATORY JR. HIGH (2070)",NA,NA,NA
"165","STOWE PREPARATORY JR. HIGH (2070)",NA,NA,NA
"166","STOWE PREPARATORY JR. HIGH (2070)",NA,NA,NA
"167","STOWE PREPARATORY JR. HIGH (2070)",NA,NA,NA
"168","STOWE PREPARATORY JR. HIGH (2070)",NA,NA,NA
"169","YEATMAN-LIDDELL MIDDLE SCHOOL (2080)",2008,317,39
"170","YEATMAN-LIDDELL MIDDLE SCHOOL (2080)",2009,304,42
"171","YEATMAN-LIDDELL MIDDLE SCHOOL (2080)",2010,239,19
"172","YEATMAN-LIDDELL MIDDLE SCHOOL (2080)",2011,267,35
"173","YEATMAN-LIDDELL MIDDLE SCHOOL (2080)",2012,354,51
"174","YEATMAN-LIDDELL MIDDLE SCHOOL (2080)",2013,391,57
"175","YEATMAN-LIDDELL MIDDLE SCHOOL (2080)",2014,421,56
"176","YEATMAN-LIDDELL MIDDLE SCHOOL (2080)",2015,358,39
"177","BLEWETT MIDDLE (3020)",2008,236,17
"178","BLEWETT MIDDLE (3020)",2009,167,45
"179","BLEWETT MIDDLE (3020)",2010,0,0
"180","BLEWETT MIDDLE (3020)",2011,0,0
"181","BLEWETT MIDDLE (3020)",2012,0,0
"182","BLEWETT MIDDLE (3020)",NA,NA,NA
"183","BLEWETT MIDDLE (3020)",NA,NA,NA
"184","BLEWETT MIDDLE (3020)",NA,NA,NA
"185","BLOW MIDDLE (3040)",2008,202,20
"186","BLOW MIDDLE (3040)",NA,NA,NA
"187","BLOW MIDDLE (3040)",NA,NA,NA
"188","BLOW MIDDLE (3040)",NA,NA,NA
"189","BLOW MIDDLE (3040)",NA,NA,NA
"190","BLOW MIDDLE (3040)",NA,NA,NA
"191","BLOW MIDDLE (3040)",NA,NA,NA
"192","BLOW MIDDLE (3040)",NA,NA,NA
"193","BUSCH MS CHARACTER & ATHLETICS (3050)",2008,238,3
"194","BUSCH MS CHARACTER & ATHLETICS (3050)",2009,277,12
"195","BUSCH MS CHARACTER & ATHLETICS (3050)",2010,266,8
"196","BUSCH MS CHARACTER & ATHLETICS (3050)",2011,307,4
"197","BUSCH MS CHARACTER & ATHLETICS (3050)",2012,346,6
"198","BUSCH MS CHARACTER & ATHLETICS (3050)",2013,353,10
"199","BUSCH MS CHARACTER & ATHLETICS (3050)",2014,330,8
"200","BUSCH MS CHARACTER & ATHLETICS (3050)",2015,349,7
"201","CARR LANE VPA MIDDLE (3070)",2008,480,11
"202","CARR LANE VPA MIDDLE (3070)",2009,428,18
"203","CARR LANE VPA MIDDLE (3070)",2010,503,8
"204","CARR LANE VPA MIDDLE (3070)",2011,551,23
"205","CARR LANE VPA MIDDLE (3070)",2012,516,22
"206","CARR LANE VPA MIDDLE (3070)",2013,559,18
"207","CARR LANE VPA MIDDLE (3070)",2014,610,12
"208","CARR LANE VPA MIDDLE (3070)",2015,557,10
"209","BUNCHE INTERNATIONAL STUDIES (3110)",2008,244,17
"210","BUNCHE INTERNATIONAL STUDIES (3110)",2009,259,9
"211","BUNCHE INTERNATIONAL STUDIES (3110)",2010,294,28
"212","BUNCHE INTERNATIONAL STUDIES (3110)",2011,178,19
"213","BUNCHE INTERNATIONAL STUDIES (3110)",NA,NA,NA
"214","BUNCHE INTERNATIONAL STUDIES (3110)",NA,NA,NA
"215","BUNCHE INTERNATIONAL STUDIES (3110)",NA,NA,NA
"216","BUNCHE INTERNATIONAL STUDIES (3110)",NA,NA,NA
"217","MCKINLEY/CLASSICAL JR. ACAD. (3130)",2008,305,5
"218","MCKINLEY/CLASSICAL JR. ACAD. (3130)",2009,333,5
"219","MCKINLEY/CLASSICAL JR. ACAD. (3130)",2010,331,2
"220","MCKINLEY/CLASSICAL JR. ACAD. (3130)",NA,NA,NA
"221","MCKINLEY/CLASSICAL JR. ACAD. (3130)",NA,NA,NA
"222","MCKINLEY/CLASSICAL JR. ACAD. (3130)",NA,NA,NA
"223","MCKINLEY/CLASSICAL JR. ACAD. (3130)",NA,NA,NA
"224","MCKINLEY/CLASSICAL JR. ACAD. (3130)",NA,NA,NA
"225","FANNING MIDDLE COMMUNITY ED. (3140)",2008,289,37
"226","FANNING MIDDLE COMMUNITY ED. (3140)",2009,333,52
"227","FANNING MIDDLE COMMUNITY ED. (3140)",2010,378,57
"228","FANNING MIDDLE COMMUNITY ED. (3140)",2011,353,21
"229","FANNING MIDDLE COMMUNITY ED. (3140)",2012,374,53
"230","FANNING MIDDLE COMMUNITY ED. (3140)",2013,340,43
"231","FANNING MIDDLE COMMUNITY ED. (3140)",2014,389,6
"232","FANNING MIDDLE COMMUNITY ED. (3140)",2015,375,18
"233","GATEWAY MIDDLE (3230)",2008,375,16
"234","GATEWAY MIDDLE (3230)",2009,426,15
"235","GATEWAY MIDDLE (3230)",2010,437,24
"236","GATEWAY MIDDLE (3230)",2011,464,20
"237","GATEWAY MIDDLE (3230)",2012,481,25
"238","GATEWAY MIDDLE (3230)",2013,569,20
"239","GATEWAY MIDDLE (3230)",2014,592,24
"240","GATEWAY MIDDLE (3230)",2015,559,21
"241","LANGSTON MIDDLE (3240)",2008,311,29
"242","LANGSTON MIDDLE (3240)",2009,310,16
"243","LANGSTON MIDDLE (3240)",2010,348,47
"244","LANGSTON MIDDLE (3240)",2011,299,46
"245","LANGSTON MIDDLE (3240)",2012,298,32
"246","LANGSTON MIDDLE (3240)",2013,304,23
"247","LANGSTON MIDDLE (3240)",2014,278,28
"248","LANGSTON MIDDLE (3240)",2015,282,21
