Name,YEAR,ENROLLMENT,TotalNumberOfIncidents
MANN ELEM. (5260),2010,243,1
MANN ELEM. (5260),2011,207,6
MANN ELEM. (5260),2012,220,2
MANN ELEM. (5260),2013,222,5
MANN ELEM. (5260),2014,274,0
MANN ELEM. (5260),2015,310,2
MARK TWAIN ELEM. (5280),2008,187,5
MARK TWAIN ELEM. (5280),2009,216,5
MARK TWAIN ELEM. (5280),,,
MARK TWAIN ELEM. (5280),,,
MARK TWAIN ELEM. (5280),,,
MARK TWAIN ELEM. (5280),,,
MARK TWAIN ELEM. (5280),,,
MARK TWAIN ELEM. (5280),,,
MASON ELEM. (5340),2008,303,2
MASON ELEM. (5340),2009,273,1
MASON ELEM. (5340),2010,264,1
MASON ELEM. (5340),2011,306,1
MASON ELEM. (5340),2012,326,0
MASON ELEM. (5340),2013,387,0
MASON ELEM. (5340),2014,393,0
MASON ELEM. (5340),2015,414,0
MERAMEC ELEM. (5500),2008,208,4
MERAMEC ELEM. (5500),2009,182,5
MERAMEC ELEM. (5500),2010,211,5
MERAMEC ELEM. (5500),2011,226,7
MERAMEC ELEM. (5500),2012,208,1
MERAMEC ELEM. (5500),2013,251,0
MERAMEC ELEM. (5500),2014,230,1
MERAMEC ELEM. (5500),2015,232,5
ELIAS MICHAEL ELEM. (5520),2008,36,0
ELIAS MICHAEL ELEM. (5520),2009,39,0
ELIAS MICHAEL ELEM. (5520),2010,45,0
ELIAS MICHAEL ELEM. (5520),2011,44,0
ELIAS MICHAEL ELEM. (5520),2012,54,0
ELIAS MICHAEL ELEM. (5520),2013,50,0
ELIAS MICHAEL ELEM. (5520),2014,58,0
ELIAS MICHAEL ELEM. (5520),2015,56,0
MITCHELL ELEM. (5540),2008,243,5
MITCHELL ELEM. (5540),,,
MITCHELL ELEM. (5540),,,
MITCHELL ELEM. (5540),,,
MITCHELL ELEM. (5540),,,
MITCHELL ELEM. (5540),,,
MITCHELL ELEM. (5540),,,
MITCHELL ELEM. (5540),,,
MONROE ELEM. (5560),2008,276,3
MONROE ELEM. (5560),2009,181,1
MONROE ELEM. (5560),2010,219,0
MONROE ELEM. (5560),2011,236,1
MONROE ELEM. (5560),2012,242,7
MONROE ELEM. (5560),2013,311,2
MONROE ELEM. (5560),2014,310,3
MONROE ELEM. (5560),2015,311,0
MULLANPHY BOTANICAL GARDENS (5590),2008,396,1
MULLANPHY BOTANICAL GARDENS (5590),2009,412,1
MULLANPHY BOTANICAL GARDENS (5590),2010,416,0
MULLANPHY BOTANICAL GARDENS (5590),2011,364,0
MULLANPHY BOTANICAL GARDENS (5590),2012,355,0
MULLANPHY BOTANICAL GARDENS (5590),2013,418,0
MULLANPHY BOTANICAL GARDENS (5590),2014,403,0
MULLANPHY BOTANICAL GARDENS (5590),2015,379,3
OAK HILL ELEM. (5600),2008,327,4
OAK HILL ELEM. (5600),2009,290,1
OAK HILL ELEM. (5600),2010,347,5
OAK HILL ELEM. (5600),2011,368,0
OAK HILL ELEM. (5600),2012,352,0
OAK HILL ELEM. (5600),2013,362,0
OAK HILL ELEM. (5600),2014,324,0
OAK HILL ELEM. (5600),2015,314,0
EARL NANCE SR. ELEM. (5610),2008,286,3
EARL NANCE SR. ELEM. (5610),2009,307,2
EARL NANCE SR. ELEM. (5610),2010,359,8
EARL NANCE SR. ELEM. (5610),2011,400,2
EARL NANCE SR. ELEM. (5610),2012,355,0
EARL NANCE SR. ELEM. (5610),2013,361,0
EARL NANCE SR. ELEM. (5610),2014,383,8
EARL NANCE SR. ELEM. (5610),2015,335,7
PEABODY ELEM. (5620),2008,281,4
PEABODY ELEM. (5620),2009,260,6
PEABODY ELEM. (5620),2010,272,6
PEABODY ELEM. (5620),2011,314,5
PEABODY ELEM. (5620),2012,258,9
PEABODY ELEM. (5620),2013,293,1
PEABODY ELEM. (5620),2014,307,3
PEABODY ELEM. (5620),2015,226,10
SCRUGGS ELEM. (5740),2008,272,5
SCRUGGS ELEM. (5740),2009,210,3
SCRUGGS ELEM. (5740),,,
SCRUGGS ELEM. (5740),,,
SCRUGGS ELEM. (5740),,,
SCRUGGS ELEM. (5740),,,
SCRUGGS ELEM. (5740),,,
SCRUGGS ELEM. (5740),,,
SHAW VISUAL/PERF. ARTS CTR. (5780),2008,312,0
SHAW VISUAL/PERF. ARTS CTR. (5780),2009,325,0
SHAW VISUAL/PERF. ARTS CTR. (5780),2010,323,0
SHAW VISUAL/PERF. ARTS CTR. (5780),2011,318,3
SHAW VISUAL/PERF. ARTS CTR. (5780),2012,349,6
SHAW VISUAL/PERF. ARTS CTR. (5780),2013,385,0
SHAW VISUAL/PERF. ARTS CTR. (5780),2014,372,1
SHAW VISUAL/PERF. ARTS CTR. (5780),2015,384,2
SHENANDOAH ELEM. (5800),2008,112,1
SHENANDOAH ELEM. (5800),2009,115,0
SHENANDOAH ELEM. (5800),2010,122,0
SHENANDOAH ELEM. (5800),2011,129,0
SHENANDOAH ELEM. (5800),2012,141,3
SHENANDOAH ELEM. (5800),2013,158,1
SHENANDOAH ELEM. (5800),2014,170,0
SHENANDOAH ELEM. (5800),2015,183,2
SHEPARD ELEM. (5820),2008,229,1
SHEPARD ELEM. (5820),2009,139,0
SHEPARD ELEM. (5820),,,
SHEPARD ELEM. (5820),,,
SHEPARD ELEM. (5820),,,
SHEPARD ELEM. (5820),,,
SHEPARD ELEM. (5820),,,
SHEPARD ELEM. (5820),,,
SHERMAN ELEM. COMM. ED. CTR. (5840),2008,174,1
SHERMAN ELEM. COMM. ED. CTR. (5840),2009,171,0
SHERMAN ELEM. COMM. ED. CTR. (5840),2010,143,1
SHERMAN ELEM. COMM. ED. CTR. (5840),2011,125,0
SHERMAN ELEM. COMM. ED. CTR. (5840),2012,124,1
SHERMAN ELEM. COMM. ED. CTR. (5840),2013,157,2
SHERMAN ELEM. COMM. ED. CTR. (5840),2014,0,0
SHERMAN ELEM. COMM. ED. CTR. (5840),,,
SIGEL ELEM. COMM. ED. CTR. (5860),2008,200,0
SIGEL ELEM. COMM. ED. CTR. (5860),2009,252,2
SIGEL ELEM. COMM. ED. CTR. (5860),2010,241,14
SIGEL ELEM. COMM. ED. CTR. (5860),2011,256,0
SIGEL ELEM. COMM. ED. CTR. (5860),2012,262,5
SIGEL ELEM. COMM. ED. CTR. (5860),2013,250,1
SIGEL ELEM. COMM. ED. CTR. (5860),2014,277,0
SIGEL ELEM. COMM. ED. CTR. (5860),2015,259,0
SIMMONS ELEM. (5880),2008,222,2
SIMMONS ELEM. (5880),2009,292,0
SIMMONS ELEM. (5880),,,
SIMMONS ELEM. (5880),,,
SIMMONS ELEM. (5880),,,
SIMMONS ELEM. (5880),,,
SIMMONS ELEM. (5880),,,
SIMMONS ELEM. (5880),,,
STIX EARLY CHILDHOOD CTR. (5930),2008,328,0
STIX EARLY CHILDHOOD CTR. (5930),2009,307,0
STIX EARLY CHILDHOOD CTR. (5930),2010,308,0
STIX EARLY CHILDHOOD CTR. (5930),2011,367,0
STIX EARLY CHILDHOOD CTR. (5930),2012,340,0
STIX EARLY CHILDHOOD CTR. (5930),2013,350,0
STIX EARLY CHILDHOOD CTR. (5930),2014,342,0
STIX EARLY CHILDHOOD CTR. (5930),2015,330,0
WALBRIDGE ELEM. COMMUNITY ED. (5960),2008,276,4
WALBRIDGE ELEM. COMMUNITY ED. (5960),2009,267,2
WALBRIDGE ELEM. COMMUNITY ED. (5960),2010,379,13
WALBRIDGE ELEM. COMMUNITY ED. (5960),2011,335,14
WALBRIDGE ELEM. COMMUNITY ED. (5960),2012,206,14
WALBRIDGE ELEM. COMMUNITY ED. (5960),2013,228,5
WALBRIDGE ELEM. COMMUNITY ED. (5960),2014,227,0
WALBRIDGE ELEM. COMMUNITY ED. (5960),2015,158,2
WOERNER ELEM. (5970),2008,380,1
WOERNER ELEM. (5970),2009,369,2
WOERNER ELEM. (5970),2010,402,7
WOERNER ELEM. (5970),2011,358,6
WOERNER ELEM. (5970),2012,362,4
WOERNER ELEM. (5970),2013,366,3
WOERNER ELEM. (5970),2014,364,0
WOERNER ELEM. (5970),2015,382,1
WASHINGTON MONTESSORI (6010),2008,285,0
WASHINGTON MONTESSORI (6010),2009,284,0
WASHINGTON MONTESSORI (6010),2010,324,1
WASHINGTON MONTESSORI (6010),2011,332,0
WASHINGTON MONTESSORI (6010),2012,327,0
WASHINGTON MONTESSORI (6010),2013,321,0
WASHINGTON MONTESSORI (6010),2014,324,0
WASHINGTON MONTESSORI (6010),2015,307,0
WILKINSON EARLY CHILDHOOD CTR. (6030),2008,140,0
WILKINSON EARLY CHILDHOOD CTR. (6030),2009,154,0
WILKINSON EARLY CHILDHOOD CTR. (6030),2010,137,0
WILKINSON EARLY CHILDHOOD CTR. (6030),2011,118,0
WILKINSON EARLY CHILDHOOD CTR. (6030),2012,117,0
WILKINSON EARLY CHILDHOOD CTR. (6030),2013,199,0
WILKINSON EARLY CHILDHOOD CTR. (6030),2014,204,0
WILKINSON EARLY CHILDHOOD CTR. (6030),2015,177,0
WOODWARD ELEM. (6120),2008,304,0
WOODWARD ELEM. (6120),2009,283,0
WOODWARD ELEM. (6120),2010,322,1
WOODWARD ELEM. (6120),2011,289,8
WOODWARD ELEM. (6120),2012,268,0
WOODWARD ELEM. (6120),2013,265,1
WOODWARD ELEM. (6120),2014,345,5
WOODWARD ELEM. (6120),2015,358,0
WYMAN ELEM. (6140),2008,201,7
WYMAN ELEM. (6140),,,
WYMAN ELEM. (6140),,,
WYMAN ELEM. (6140),,,
WYMAN ELEM. (6140),,,
WYMAN ELEM. (6140),,,
WYMAN ELEM. (6140),,,
WYMAN ELEM. (6140),,,
CARDINAL GLENNON HOSPITAL (6280),2008,10,0
CARDINAL GLENNON HOSPITAL (6280),2009,0,0
CARDINAL GLENNON HOSPITAL (6280),2010,0,0
CARDINAL GLENNON HOSPITAL (6280),2011,0,0
CARDINAL GLENNON HOSPITAL (6280),2012,0,0
CARDINAL GLENNON HOSPITAL (6280),2013,0,0
CARDINAL GLENNON HOSPITAL (6280),2014,0,0
CARDINAL GLENNON HOSPITAL (6280),2015,0,0
ST. LOUIS CHILDREN'S HOSPITAL (6340),2008,19,0
ST. LOUIS CHILDREN'S HOSPITAL (6340),2009,0,0
ST. LOUIS CHILDREN'S HOSPITAL (6340),2010,1,0
ST. LOUIS CHILDREN'S HOSPITAL (6340),2011,14,0
ST. LOUIS CHILDREN'S HOSPITAL (6340),2012,11,0
ST. LOUIS CHILDREN'S HOSPITAL (6340),2013,9,0
ST. LOUIS CHILDREN'S HOSPITAL (6340),2014,12,0
ST. LOUIS CHILDREN'S HOSPITAL (6340),2015,23,0
MEDA P. WASHINGTON EARLY CHILD (7500),2008,0,0
MEDA P. WASHINGTON EARLY CHILD (7500),2009,0,0
MEDA P. WASHINGTON EARLY CHILD (7500),,,
MEDA P. WASHINGTON EARLY CHILD (7500),,,
MEDA P. WASHINGTON EARLY CHILD (7500),,,
MEDA P. WASHINGTON EARLY CHILD (7500),,,
MEDA P. WASHINGTON EARLY CHILD (7500),,,
MEDA P. WASHINGTON EARLY CHILD (7500),,,
EXTERNAL LOCATION (9990),2008,0,0
EXTERNAL LOCATION (9990),2009,0,0
EXTERNAL LOCATION (9990),2010,0,0
EXTERNAL LOCATION (9990),2011,0,0
EXTERNAL LOCATION (9990),2012,0,0
EXTERNAL LOCATION (9990),2013,0,0
EXTERNAL LOCATION (9990),2014,0,0
EXTERNAL LOCATION (9990),2015,0,0
VO. TECH. TUITION (9995),2008,0,0
VO. TECH. TUITION (9995),2009,0,0
VO. TECH. TUITION (9995),2010,0,0
VO. TECH. TUITION (9995),2011,0,0
VO. TECH. TUITION (9995),2012,0,0
VO. TECH. TUITION (9995),2013,0,0
VO. TECH. TUITION (9995),2014,0,0
VO. TECH. TUITION (9995),2015,0,0
HUMBOLDT ACAD OF HIGHER LRNING (4960),,,
HUMBOLDT ACAD OF HIGHER LRNING (4960),,,
HUMBOLDT ACAD OF HIGHER LRNING (4960),,,
HUMBOLDT ACAD OF HIGHER LRNING (4960),,,
HUMBOLDT ACAD OF HIGHER LRNING (4960),2012,166,0
HUMBOLDT ACAD OF HIGHER LRNING (4960),2013,280,0
HUMBOLDT ACAD OF HIGHER LRNING (4960),2014,298,0
HUMBOLDT ACAD OF HIGHER LRNING (4960),2015,315,0
THE COLLEGE PREPARATORY HIGH (1550),,,
THE COLLEGE PREPARATORY HIGH (1550),,,
THE COLLEGE PREPARATORY HIGH (1550),,,
THE COLLEGE PREPARATORY HIGH (1550),,,
THE COLLEGE PREPARATORY HIGH (1550),,,
THE COLLEGE PREPARATORY HIGH (1550),2013,437,9
THE COLLEGE PREPARATORY HIGH (1550),2014,375,13
THE COLLEGE PREPARATORY HIGH (1550),2015,290,8
ACAD OF ENVT SCI/MATH MIDDLE (3250),,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2013,409,8
ACAD OF ENVT SCI/MATH MIDDLE (3250),2014,306,34
ACAD OF ENVT SCI/MATH MIDDLE (3250),2015,282,18
ACAD OF ENVT SCI/MATH ELEM (4990),,,
ACAD OF ENVT SCI/MATH ELEM (4990),,,
ACAD OF ENVT SCI/MATH ELEM (4990),,,
ACAD OF ENVT SCI/MATH ELEM (4990),,,
ACAD OF ENVT SCI/MATH ELEM (4990),,,
ACAD OF ENVT SCI/MATH ELEM (4990),2013,786,5
ACAD OF ENVT SCI/MATH ELEM (4990),2014,505,2
ACAD OF ENVT SCI/MATH ELEM (4990),2015,328,9
COLLEGIATE SCHOOL OF MED/BIO (1510),,,
COLLEGIATE SCHOOL OF MED/BIO (1510),,,
COLLEGIATE SCHOOL OF MED/BIO (1510),,,
COLLEGIATE SCHOOL OF MED/BIO (1510),,,
COLLEGIATE SCHOOL OF MED/BIO (1510),,,
COLLEGIATE SCHOOL OF MED/BIO (1510),,,
COLLEGIATE SCHOOL OF MED/BIO (1510),2014,61,0
COLLEGIATE SCHOOL OF MED/BIO (1510),2015,110,0
