Name,Year,Out_School_Suspension
SHENANDOAH ELEM.,2009,0
SHENANDOAH ELEM.,2010,0
SHENANDOAH ELEM.,2011,0
SHENANDOAH ELEM.,2012,2.1
SHENANDOAH ELEM.,2013,0.6
SHENANDOAH ELEM.,2014,0
SHENANDOAH ELEM.,2015,0.5
SHEPARD ELEM.,2008,0.4
SHEPARD ELEM.,2009,0
SHEPARD ELEM.,2010,
SHEPARD ELEM.,2011,
SHEPARD ELEM.,2012,
SHEPARD ELEM.,2013,
SHEPARD ELEM.,2014,
SHEPARD ELEM.,2015,
SHERMAN ELEM. COMM. ED. CTR.,2008,0.6
SHERMAN ELEM. COMM. ED. CTR.,2009,0
SHERMAN ELEM. COMM. ED. CTR.,2010,0.7
SHERMAN ELEM. COMM. ED. CTR.,2011,0
SHERMAN ELEM. COMM. ED. CTR.,2012,0.8
SHERMAN ELEM. COMM. ED. CTR.,2013,1.3
SHERMAN ELEM. COMM. ED. CTR.,2014,0
SHERMAN ELEM. COMM. ED. CTR.,2015,
SIGEL ELEM. COMM. ED. CTR.,2008,0
SIGEL ELEM. COMM. ED. CTR.,2009,0.8
SIGEL ELEM. COMM. ED. CTR.,2010,5.8
SIGEL ELEM. COMM. ED. CTR.,2011,0
SIGEL ELEM. COMM. ED. CTR.,2012,1.9
SIGEL ELEM. COMM. ED. CTR.,2013,0.4
SIGEL ELEM. COMM. ED. CTR.,2014,0
SIGEL ELEM. COMM. ED. CTR.,2015,0
SIMMONS ELEM.,2008,0.9
SIMMONS ELEM.,2009,0
SIMMONS ELEM.,2010,
SIMMONS ELEM.,2011,
SIMMONS ELEM.,2012,
SIMMONS ELEM.,2013,
SIMMONS ELEM.,2014,
SIMMONS ELEM.,2015,
SOLDAN INTERNATIONAL STUDIES,2008,4.7
SOLDAN INTERNATIONAL STUDIES,2009,4.5
SOLDAN INTERNATIONAL STUDIES,2010,3.1
SOLDAN INTERNATIONAL STUDIES,2011,3.8
SOLDAN INTERNATIONAL STUDIES,2012,1.9
SOLDAN INTERNATIONAL STUDIES,2013,0.9
SOLDAN INTERNATIONAL STUDIES,2014,2.3
SOLDAN INTERNATIONAL STUDIES,2015,2.5
ST. LOUIS CHILDREN'S HOSPITAL,2008,0
ST. LOUIS CHILDREN'S HOSPITAL,2009,0
ST. LOUIS CHILDREN'S HOSPITAL,2010,0
ST. LOUIS CHILDREN'S HOSPITAL,2011,0
ST. LOUIS CHILDREN'S HOSPITAL,2012,0
ST. LOUIS CHILDREN'S HOSPITAL,2013,0
ST. LOUIS CHILDREN'S HOSPITAL,2014,0
ST. LOUIS CHILDREN'S HOSPITAL,2015,0
STEVENS MIDDLE COMMUNITY ED.,2008,13.6
STEVENS MIDDLE COMMUNITY ED.,2009,23.8
STEVENS MIDDLE COMMUNITY ED.,2010,9.7
STEVENS MIDDLE COMMUNITY ED.,2011,13.8
STEVENS MIDDLE COMMUNITY ED.,2012,0
STEVENS MIDDLE COMMUNITY ED.,2013,0
STEVENS MIDDLE COMMUNITY ED.,2014,0
STEVENS MIDDLE COMMUNITY ED.,2015,0
STIX EARLY CHILDHOOD CTR.,2008,0
STIX EARLY CHILDHOOD CTR.,2009,0
STIX EARLY CHILDHOOD CTR.,2010,0
STIX EARLY CHILDHOOD CTR.,2011,0
STIX EARLY CHILDHOOD CTR.,2012,0
STIX EARLY CHILDHOOD CTR.,2013,0
STIX EARLY CHILDHOOD CTR.,2014,0
STIX EARLY CHILDHOOD CTR.,2015,0
STOWE PREPARATORY JR. HIGH,2008,5.1
STOWE PREPARATORY JR. HIGH,2009,14.2
STOWE PREPARATORY JR. HIGH,2010,
STOWE PREPARATORY JR. HIGH,2011,
STOWE PREPARATORY JR. HIGH,2012,
STOWE PREPARATORY JR. HIGH,2013,
STOWE PREPARATORY JR. HIGH,2014,
STOWE PREPARATORY JR. HIGH,2015,
SUMNER HIGH,2008,17.5
SUMNER HIGH,2009,12.4
SUMNER HIGH,2010,9.8
SUMNER HIGH,2011,11.9
SUMNER HIGH,2012,12.9
SUMNER HIGH,2013,8.9
SUMNER HIGH,2014,9.5
SUMNER HIGH,2015,27
THE COLLEGE PREPARATORY HIGH,2008,
THE COLLEGE PREPARATORY HIGH,2009,
THE COLLEGE PREPARATORY HIGH,2010,
THE COLLEGE PREPARATORY HIGH,2011,
THE COLLEGE PREPARATORY HIGH,2012,
THE COLLEGE PREPARATORY HIGH,2013,2.1
THE COLLEGE PREPARATORY HIGH,2014,3.5
THE COLLEGE PREPARATORY HIGH,2015,2.8
TRANSPORTATION AND LAW,2008,6.4
TRANSPORTATION AND LAW,2009,8.8
TRANSPORTATION AND LAW,2010,0.3
TRANSPORTATION AND LAW,2011,8.5
TRANSPORTATION AND LAW,2012,10.1
TRANSPORTATION AND LAW,2013,6.7
TRANSPORTATION AND LAW,2014,11.8
TRANSPORTATION AND LAW,2015,4.7
VASHON 9TH GRADE CTR.,2008,44.3
VASHON 9TH GRADE CTR.,2009,
VASHON 9TH GRADE CTR.,2010,
VASHON 9TH GRADE CTR.,2011,
VASHON 9TH GRADE CTR.,2012,
VASHON 9TH GRADE CTR.,2013,
VASHON 9TH GRADE CTR.,2014,
VASHON 9TH GRADE CTR.,2015,
VASHON HIGH,2008,26.6
VASHON HIGH,2009,29.8
VASHON HIGH,2010,20.7
VASHON HIGH,2011,10.3
VASHON HIGH,2012,16.4
VASHON HIGH,2013,9.7
VASHON HIGH,2014,11.5
VASHON HIGH,2015,26.4
VO. TECH. TUITION,2008,0
VO. TECH. TUITION,2009,0
VO. TECH. TUITION,2010,0
VO. TECH. TUITION,2011,0
VO. TECH. TUITION,2012,0
VO. TECH. TUITION,2013,0
VO. TECH. TUITION,2014,0
VO. TECH. TUITION,2015,0
WALBRIDGE ELEM. COMMUNITY ED.,2008,1.4
WALBRIDGE ELEM. COMMUNITY ED.,2009,0.7
WALBRIDGE ELEM. COMMUNITY ED.,2010,3.4
WALBRIDGE ELEM. COMMUNITY ED.,2011,4.2
WALBRIDGE ELEM. COMMUNITY ED.,2012,6.8
WALBRIDGE ELEM. COMMUNITY ED.,2013,2.2
WALBRIDGE ELEM. COMMUNITY ED.,2014,0
WALBRIDGE ELEM. COMMUNITY ED.,2015,1.3
WASHINGTON MONTESSORI,2008,0
WASHINGTON MONTESSORI,2009,0
WASHINGTON MONTESSORI,2010,0.3
WASHINGTON MONTESSORI,2011,0
WASHINGTON MONTESSORI,2012,0
WASHINGTON MONTESSORI,2013,0
WASHINGTON MONTESSORI,2014,0
WASHINGTON MONTESSORI,2015,0
WILKINSON EARLY CHILDHOOD CTR.,2008,0
WILKINSON EARLY CHILDHOOD CTR.,2009,0
WILKINSON EARLY CHILDHOOD CTR.,2010,0
WILKINSON EARLY CHILDHOOD CTR.,2011,0
WILKINSON EARLY CHILDHOOD CTR.,2012,0
WILKINSON EARLY CHILDHOOD CTR.,2013,0
WILKINSON EARLY CHILDHOOD CTR.,2014,0
WILKINSON EARLY CHILDHOOD CTR.,2015,0
WOERNER ELEM.,2008,0.3
WOERNER ELEM.,2009,0.5
WOERNER ELEM.,2010,1.7
WOERNER ELEM.,2011,1.7
WOERNER ELEM.,2012,1.1
WOERNER ELEM.,2013,0
WOERNER ELEM.,2014,0
WOERNER ELEM.,2015,0.3
WOODWARD ELEM.,2008,0
WOODWARD ELEM.,2009,0
WOODWARD ELEM.,2010,0.3
WOODWARD ELEM.,2011,2.8
WOODWARD ELEM.,2012,0
WOODWARD ELEM.,2013,0.4
WOODWARD ELEM.,2014,1.4
WOODWARD ELEM.,2015,0
WYMAN ELEM.,2008,3.5
WYMAN ELEM.,2009,
WYMAN ELEM.,2010,
WYMAN ELEM.,2011,
WYMAN ELEM.,2012,
WYMAN ELEM.,2013,
WYMAN ELEM.,2014,
WYMAN ELEM.,2015,
YEATMAN-LIDDELL MIDDLE SCHOOL,2008,12.3
YEATMAN-LIDDELL MIDDLE SCHOOL,2009,13.8
YEATMAN-LIDDELL MIDDLE SCHOOL,2010,7.9
YEATMAN-LIDDELL MIDDLE SCHOOL,2011,13.1
YEATMAN-LIDDELL MIDDLE SCHOOL,2012,14.1
YEATMAN-LIDDELL MIDDLE SCHOOL,2013,14.1
YEATMAN-LIDDELL MIDDLE SCHOOL,2014,13.3
YEATMAN-LIDDELL MIDDLE SCHOOL,2015,10.6
