Name,Year,Out_School_Suspension
CARR LANE VPA MIDDLE,2008,2.3
CARR LANE VPA MIDDLE,2009,4.2
CARR LANE VPA MIDDLE,2010,1.6
CARR LANE VPA MIDDLE,2011,4.2
CARR LANE VPA MIDDLE,2012,4.3
CARR LANE VPA MIDDLE,2013,3.2
CARR LANE VPA MIDDLE,2014,2
CARR LANE VPA MIDDLE,2015,1.8
CENTRAL VISUAL/PERF. ARTS HIGH,2008,5.5
CENTRAL VISUAL/PERF. ARTS HIGH,2009,9.1
CENTRAL VISUAL/PERF. ARTS HIGH,2010,0.4
CENTRAL VISUAL/PERF. ARTS HIGH,2011,3.3
CENTRAL VISUAL/PERF. ARTS HIGH,2012,3.8
CENTRAL VISUAL/PERF. ARTS HIGH,2013,3.6
CENTRAL VISUAL/PERF. ARTS HIGH,2014,1.7
CENTRAL VISUAL/PERF. ARTS HIGH,2015,0
CLARK ELEM.,2008,0.5
CLARK ELEM.,2009,5.6
CLARK ELEM.,2010,
CLARK ELEM.,2011,
CLARK ELEM.,2012,
CLARK ELEM.,2013,
CLARK ELEM.,2014,
CLARK ELEM.,2015,
CLAY ELEM.,2008,0
CLAY ELEM.,2009,0.6
CLAY ELEM.,2010,0
CLAY ELEM.,2011,0
CLAY ELEM.,2012,0
CLAY ELEM.,2013,0
CLAY ELEM.,2014,0
CLAY ELEM.,2015,0
CLEVELAND NJROTC ACADEMY,2008,7.8
CLEVELAND NJROTC ACADEMY,2009,2.6
CLEVELAND NJROTC ACADEMY,2010,5.9
CLEVELAND NJROTC ACADEMY,2011,2.3
CLEVELAND NJROTC ACADEMY,2012,4.6
CLEVELAND NJROTC ACADEMY,2013,3.6
CLEVELAND NJROTC ACADEMY,2014,3.3
CLEVELAND NJROTC ACADEMY,2015,4.5
COLE ELEM.,2008,0
COLE ELEM.,2009,0.6
COLE ELEM.,2010,0
COLE ELEM.,2011,0.6
COLE ELEM.,2012,0.5
COLE ELEM.,2013,0
COLE ELEM.,2014,0.6
COLE ELEM.,2015,1.6
COLLEGIATE SCHOOL OF MED/BIO,2008,
COLLEGIATE SCHOOL OF MED/BIO,2009,
COLLEGIATE SCHOOL OF MED/BIO,2010,
COLLEGIATE SCHOOL OF MED/BIO,2011,
COLLEGIATE SCHOOL OF MED/BIO,2012,
COLLEGIATE SCHOOL OF MED/BIO,2013,
COLLEGIATE SCHOOL OF MED/BIO,2014,0
COLLEGIATE SCHOOL OF MED/BIO,2015,0
COLUMBIA ELEM. COMM. ED. CTR.,2008,1.6
COLUMBIA ELEM. COMM. ED. CTR.,2009,0
COLUMBIA ELEM. COMM. ED. CTR.,2010,0
COLUMBIA ELEM. COMM. ED. CTR.,2011,1.6
COLUMBIA ELEM. COMM. ED. CTR.,2012,0
COLUMBIA ELEM. COMM. ED. CTR.,2013,2
COLUMBIA ELEM. COMM. ED. CTR.,2014,0.9
COLUMBIA ELEM. COMM. ED. CTR.,2015,0
COMMUNITY ACCESS JOB TRAINING,2008,3.4
COMMUNITY ACCESS JOB TRAINING,2009,1.5
COMMUNITY ACCESS JOB TRAINING,2010,0
COMMUNITY ACCESS JOB TRAINING,2011,0
COMMUNITY ACCESS JOB TRAINING,2012,0
COMMUNITY ACCESS JOB TRAINING,2013,0
COMMUNITY ACCESS JOB TRAINING,2014,0
COMMUNITY ACCESS JOB TRAINING,2015,0
COMPTON-DREW ILC MIDDLE,2008,5
COMPTON-DREW ILC MIDDLE,2009,2.7
COMPTON-DREW ILC MIDDLE,2010,3.5
COMPTON-DREW ILC MIDDLE,2011,3.6
COMPTON-DREW ILC MIDDLE,2012,3
COMPTON-DREW ILC MIDDLE,2013,2.2
COMPTON-DREW ILC MIDDLE,2014,1.5
COMPTON-DREW ILC MIDDLE,2015,3.8
COTE BRILLIANTE ELEM.,2008,0.8
COTE BRILLIANTE ELEM.,2009,1.5
COTE BRILLIANTE ELEM.,2010,2
COTE BRILLIANTE ELEM.,2011,1.7
COTE BRILLIANTE ELEM.,2012,0
COTE BRILLIANTE ELEM.,2013,0
COTE BRILLIANTE ELEM.,2014,0
COTE BRILLIANTE ELEM.,2015,0.9
DEWEY SCH.-INTERNAT'L. STUDIES,2008,0
DEWEY SCH.-INTERNAT'L. STUDIES,2009,0
DEWEY SCH.-INTERNAT'L. STUDIES,2010,0
DEWEY SCH.-INTERNAT'L. STUDIES,2011,0
DEWEY SCH.-INTERNAT'L. STUDIES,2012,0.5
DEWEY SCH.-INTERNAT'L. STUDIES,2013,0.5
DEWEY SCH.-INTERNAT'L. STUDIES,2014,0
DEWEY SCH.-INTERNAT'L. STUDIES,2015,0.3
DUNBAR AND BR.,2008,6.5
DUNBAR AND BR.,2009,4.1
DUNBAR AND BR.,2010,4.1
DUNBAR AND BR.,2011,2.1
DUNBAR AND BR.,2012,0
DUNBAR AND BR.,2013,0.5
DUNBAR AND BR.,2014,0
DUNBAR AND BR.,2015,0.5
EARL NANCE  SR. ELEM.,2008,1
EARL NANCE  SR. ELEM.,2009,0.7
EARL NANCE  SR. ELEM.,2010,2.2
EARL NANCE  SR. ELEM.,2011,0.5
EARL NANCE  SR. ELEM.,2012,0
EARL NANCE  SR. ELEM.,2013,0
EARL NANCE  SR. ELEM.,2014,2.1
EARL NANCE  SR. ELEM.,2015,2.1
ELIAS MICHAEL ELEM.,2008,0
