"","Name","Year","Violence_Rate"
"693","STIX EARLY CHILDHOOD CTR.",2012,0
"694","STIX EARLY CHILDHOOD CTR.",2013,0
"695","STIX EARLY CHILDHOOD CTR.",2014,0
"696","STIX EARLY CHILDHOOD CTR.",2015,0
"697","STOWE PREPARATORY JR. HIGH",2008,0.7
"698","STOWE PREPARATORY JR. HIGH",2009,9.5
"699","STOWE PREPARATORY JR. HIGH",2010,NA
"700","STOWE PREPARATORY JR. HIGH",2011,NA
"701","STOWE PREPARATORY JR. HIGH",2012,NA
"702","STOWE PREPARATORY JR. HIGH",2013,NA
"703","STOWE PREPARATORY JR. HIGH",2014,NA
"704","STOWE PREPARATORY JR. HIGH",2015,NA
"705","SUMNER HIGH",2008,7.2
"706","SUMNER HIGH",2009,2.4
"707","SUMNER HIGH",2010,4
"708","SUMNER HIGH",2011,2.6
"709","SUMNER HIGH",2012,5.4
"710","SUMNER HIGH",2013,2.3
"711","SUMNER HIGH",2014,1.4
"712","SUMNER HIGH",2015,13.9
"713","THE COLLEGE PREPARATORY HIGH",2008,NA
"714","THE COLLEGE PREPARATORY HIGH",2009,NA
"715","THE COLLEGE PREPARATORY HIGH",2010,NA
"716","THE COLLEGE PREPARATORY HIGH",2011,NA
"717","THE COLLEGE PREPARATORY HIGH",2012,NA
"718","THE COLLEGE PREPARATORY HIGH",2013,0.5
"719","THE COLLEGE PREPARATORY HIGH",2014,1.3
"720","THE COLLEGE PREPARATORY HIGH",2015,0.7
"721","TRANSPORTATION AND LAW",2008,0.5
"722","TRANSPORTATION AND LAW",2009,0
"723","TRANSPORTATION AND LAW",2010,1.7
"724","TRANSPORTATION AND LAW",2011,0.6
"725","TRANSPORTATION AND LAW",2012,0.7
"726","TRANSPORTATION AND LAW",2013,3
"727","TRANSPORTATION AND LAW",2014,0.8
"728","TRANSPORTATION AND LAW",2015,0.5
"729","VASHON 9TH GRADE CTR.",2008,0.5
"730","VASHON 9TH GRADE CTR.",2009,NA
"731","VASHON 9TH GRADE CTR.",2010,NA
"732","VASHON 9TH GRADE CTR.",2011,NA
"733","VASHON 9TH GRADE CTR.",2012,NA
"734","VASHON 9TH GRADE CTR.",2013,NA
"735","VASHON 9TH GRADE CTR.",2014,NA
"736","VASHON 9TH GRADE CTR.",2015,NA
"737","VASHON HIGH",2008,4.6
"738","VASHON HIGH",2009,4.2
"739","VASHON HIGH",2010,6.5
"740","VASHON HIGH",2011,6.4
"741","VASHON HIGH",2012,4.2
"742","VASHON HIGH",2013,3
"743","VASHON HIGH",2014,1.9
"744","VASHON HIGH",2015,3.9
"745","VO. TECH. TUITION",2008,0
"746","VO. TECH. TUITION",2009,0
"747","VO. TECH. TUITION",2010,0
"748","VO. TECH. TUITION",2011,0
"749","VO. TECH. TUITION",2012,0
"750","VO. TECH. TUITION",2013,0
"751","VO. TECH. TUITION",2014,0
"752","VO. TECH. TUITION",2015,0
"753","WALBRIDGE ELEM. COMMUNITY ED.",2008,0.7
"754","WALBRIDGE ELEM. COMMUNITY ED.",2009,0.4
"755","WALBRIDGE ELEM. COMMUNITY ED.",2010,0.3
"756","WALBRIDGE ELEM. COMMUNITY ED.",2011,0.9
"757","WALBRIDGE ELEM. COMMUNITY ED.",2012,3.9
"758","WALBRIDGE ELEM. COMMUNITY ED.",2013,0.9
"759","WALBRIDGE ELEM. COMMUNITY ED.",2014,0
"760","WALBRIDGE ELEM. COMMUNITY ED.",2015,0.6
"761","WASHINGTON MONTESSORI",2008,0
"762","WASHINGTON MONTESSORI",2009,0
"763","WASHINGTON MONTESSORI",2010,0
"764","WASHINGTON MONTESSORI",2011,0
"765","WASHINGTON MONTESSORI",2012,0
"766","WASHINGTON MONTESSORI",2013,0
"767","WASHINGTON MONTESSORI",2014,0
"768","WASHINGTON MONTESSORI",2015,0
"769","WILKINSON EARLY CHILDHOOD CTR.",2008,0
"770","WILKINSON EARLY CHILDHOOD CTR.",2009,0
"771","WILKINSON EARLY CHILDHOOD CTR.",2010,0
"772","WILKINSON EARLY CHILDHOOD CTR.",2011,0
"773","WILKINSON EARLY CHILDHOOD CTR.",2012,0
"774","WILKINSON EARLY CHILDHOOD CTR.",2013,0
"775","WILKINSON EARLY CHILDHOOD CTR.",2014,0
"776","WILKINSON EARLY CHILDHOOD CTR.",2015,0
"777","WOERNER ELEM.",2008,0
"778","WOERNER ELEM.",2009,0
"779","WOERNER ELEM.",2010,0
"780","WOERNER ELEM.",2011,0.8
"781","WOERNER ELEM.",2012,0.8
"782","WOERNER ELEM.",2013,0
"783","WOERNER ELEM.",2014,0
"784","WOERNER ELEM.",2015,0
"785","WOODWARD ELEM.",2008,0
"786","WOODWARD ELEM.",2009,0
"787","WOODWARD ELEM.",2010,0
"788","WOODWARD ELEM.",2011,0.7
"789","WOODWARD ELEM.",2012,0
"790","WOODWARD ELEM.",2013,0
"791","WOODWARD ELEM.",2014,0.3
"792","WOODWARD ELEM.",2015,0
"793","WYMAN ELEM.",2008,1
"794","WYMAN ELEM.",2009,NA
"795","WYMAN ELEM.",2010,NA
"796","WYMAN ELEM.",2011,NA
"797","WYMAN ELEM.",2012,NA
"798","WYMAN ELEM.",2013,NA
"799","WYMAN ELEM.",2014,NA
"800","WYMAN ELEM.",2015,NA
"801","YEATMAN-LIDDELL MIDDLE SCHOOL",2008,3.5
"802","YEATMAN-LIDDELL MIDDLE SCHOOL",2009,0.7
"803","YEATMAN-LIDDELL MIDDLE SCHOOL",2010,1.7
"804","YEATMAN-LIDDELL MIDDLE SCHOOL",2011,0.7
"805","YEATMAN-LIDDELL MIDDLE SCHOOL",2012,4.2
"806","YEATMAN-LIDDELL MIDDLE SCHOOL",2013,2.6
"807","YEATMAN-LIDDELL MIDDLE SCHOOL",2014,1.9
"808","YEATMAN-LIDDELL MIDDLE SCHOOL",2015,5.3
