"","DateOccur","Count","Crime","District","Neighborhood","XCoord","YCoord"
"1","01/01/2011 09:50",1,91124,8,55,890560.6,1030332
"2","01/01/2011 12:00",1,72113,1,5,888567.1,1000926
"3","01/01/2012 23:00",1,65701,8,55,891581.8,1032628
"4","01/01/2013 00:01",1,142320,9,38,891912.9,1024663
"5","01/01/2013 00:01",1,51221,1,16,892855.4,1000823
"6","01/01/2013 00:01",1,142320,6,79,901020,1038061
"7","01/01/2013 00:01",1,142320,6,72,892655.8,1043070
"8","01/01/2013 00:10",1,67701,1,2,888205.6,988906.2
"9","01/01/2013 00:18",1,152200,2,10,876018,1010915
"10","01/01/2013 00:24",1,142320,9,38,889566.1,1022107
"11","01/01/2013 00:27",1,265321,1,4,879097.3,994408.1
"12","01/01/2013 00:30",1,142320,1,17,894926.2,995158.1
"13","01/01/2013 00:30",1,41011,9,0,0,0
"14","01/01/2013 00:34",1,211000,9,37,895771.1,1016910
"15","01/01/2013 00:36",1,142320,6,71,890790.9,1040186
"16","01/01/2013 00:43",1,265321,5,63,905960.9,1025983
"17","01/01/2013 00:58",1,265321,7,78,881286.9,1032988
"18","01/01/2013 01:00",1,265321,2,44,875847.3,1019400
"19","01/01/2013 01:00",1,41011,7,48,879425.1,1031441
"20","01/01/2013 01:00",1,67601,4,35,907005.8,1018860
"21","01/01/2013 01:00",1,71030,6,73,891159.3,1048799
"22","01/01/2013 01:00",1,265321,9,28,891792.7,1017152
"23","01/01/2013 01:00",1,64601,9,77,898562.5,1020558
"24","01/01/2013 01:05",1,91114,9,59,899902.5,1021728
"25","01/01/2013 01:10",1,44015,2,12,881554.4,1013910
"26","01/01/2013 01:12",1,31111,6,70,891299.6,1039195
"27","01/01/2013 01:15",1,91113,4,35,910315.3,1018736
"28","01/01/2013 01:15",1,91303,4,35,910315.3,1018736
"29","01/01/2013 01:15",1,91303,4,35,910315.3,1018736
"30","01/01/2013 01:30",1,67701,4,35,908097.1,1014297
"31","01/01/2013 01:30",1,142320,7,48,881051.6,1031058
"32","01/01/2013 01:30",1,65701,9,38,889219.4,1023087
"33","01/01/2013 01:50",1,142320,1,5,888555.9,1002811
"34","01/01/2013 02:00",1,241100,7,46,878761.3,1025826
"35","01/01/2013 02:00",1,21000,9,77,898562.5,1020558
"36","01/01/2013 02:00",1,91114,1,16,894535.2,1002650
"37","01/01/2013 02:00",1,67701,4,35,910272,1018759
"38","01/01/2013 02:05",1,91113,4,35,0,0
"39","01/01/2013 02:15",1,91113,4,35,908249.6,1018480
"40","01/01/2013 02:15",1,91113,4,35,908249.6,1018480
"41","01/01/2013 02:15",1,142320,6,69,893136.9,1034688
"42","01/01/2013 02:24",1,265321,4,35,911097.8,1018579
"43","01/01/2013 02:30",1,21000,4,61,905842.6,1021167
"44","01/01/2013 02:40",1,91114,2,7,884103.6,1004305
"45","01/01/2013 02:45",1,42021,3,15,888103.5,1007613
"46","01/01/2013 03:00",1,142320,1,1,892683.7,993062.5
"47","01/01/2013 03:00",1,51321,2,6,881381.3,999169.9
"48","01/01/2013 03:00",1,91113,4,35,910419.7,1018435
"49","01/01/2013 03:06",1,265321,3,81,886337,1010223
"50","01/01/2013 03:12",1,241100,5,65,906324.1,1027781
"51","01/01/2013 03:58",1,52212,4,36,904151.6,1019413
"52","01/01/2013 04:00",1,71030,4,61,904449.5,1021477
"53","01/01/2013 04:15",1,91114,5,67,901258.3,1029801
"54","01/01/2013 04:30",1,142320,9,37,900393.5,1020980
"55","01/01/2013 04:33",1,265321,1,16,893347.1,999244.4
"56","01/01/2013 06:00",1,65701,6,72,891146.9,1042184
"57","01/01/2013 07:21",1,265321,4,35,908992.9,1016349
"58","01/01/2013 07:25",1,42014,1,18,899284.4,1002254
"59","01/01/2013 07:30",1,241100,4,36,904990.8,1018745
"60","01/01/2013 08:00",1,51312,8,56,898489.7,1030893
"61","01/01/2013 08:00",1,51322,3,19,895820,1003254
"62","01/01/2013 08:00",1,51322,1,17,894233.3,996624.3
"63","01/01/2013 09:00",1,69702,6,68,898216.3,1033976
"64","01/01/2013 09:00",1,67701,8,55,890578.5,1032881
"65","01/01/2013 09:00",1,112010,2,7,884486.4,1003791
"66","01/01/2013 09:35",1,65701,8,56,897584.6,1028983
"67","01/01/2013 10:00",1,51312,1,5,885841.2,1001205
"68","01/01/2013 10:00",1,67701,7,50,887466,1034137
"69","01/01/2013 10:30",1,71040,9,59,898224,1025957
"70","01/01/2013 10:39",1,266400,5,67,901435.9,1032822
"71","01/01/2013 10:44",1,265321,1,1,0,0
"72","01/01/2013 11:00",1,71013,9,77,895166.8,1021465
"73","01/01/2013 11:00",1,265321,1,5,887187.8,1002297
"74","01/01/2013 11:00",1,69702,7,46,878696.2,1025834
"75","01/01/2013 11:00",1,64601,3,81,890086.2,1009696
"76","01/01/2013 11:10",1,63701,3,15,886045.3,1008369
"77","01/01/2013 12:00",1,264100,1,16,892493.2,1002200
"78","01/01/2013 12:00",1,71013,7,48,879842.8,1032097
"79","01/01/2013 12:00",1,21000,7,48,879713.3,1030252
"80","01/01/2013 12:00",1,67701,3,30,897033,1006486
"81","01/01/2013 12:50",1,43015,7,51,888196.6,1029551
"82","01/01/2013 12:50",1,43012,7,51,888196.6,1029551
"83","01/01/2013 12:55",1,31421,7,78,880442.4,1033027
"84","01/01/2013 13:00",1,265321,6,68,897914.3,1034077
"85","01/01/2013 13:00",1,51122,1,3,889832.7,996230.1
"86","01/01/2013 13:23",1,182130,1,16,893499.6,1001872
"87","01/01/2013 14:00",1,51312,8,53,888412.1,1028498
"88","01/01/2013 14:40",1,67701,2,10,874831.6,1012898
"89","01/01/2013 14:54",1,182130,1,16,892365.6,1002201
"90","01/01/2013 15:00",1,51312,1,16,892124.8,997018.9
"91","01/01/2013 15:01",1,265321,1,3,889265.3,996315.9
"92","01/01/2013 15:03",1,36111,1,4,883551.7,995055.4
"93","01/01/2013 15:15",1,91114,2,10,873611.8,1010383
"94","01/01/2013 15:30",1,182400,7,48,881500.1,1028670
"95","01/01/2013 16:04",1,51312,3,15,891940.3,1003971
"96","01/01/2013 16:23",1,142320,2,44,876315.5,1019152
"97","01/01/2013 16:30",1,41011,1,5,888206.3,1002018
"98","01/01/2013 16:39",1,71030,4,35,911163,1019271
"99","01/01/2013 17:00",1,63701,5,67,902522.3,1032298
"100","01/01/2013 17:00",1,52312,6,79,901014.5,1038865
"101","01/01/2013 17:30",1,67701,9,38,887579.7,1022103
"102","01/01/2013 17:30",1,72113,6,68,898746.8,1036722
"103","01/01/2013 18:00",1,71013,7,46,880609.4,1025053
"104","01/01/2013 18:00",1,65701,6,69,893913.8,1034280
"105","01/01/2013 18:00",1,71013,1,3,889403.2,996029.4
"106","01/01/2013 18:00",1,69602,1,17,894867.9,998453.3
"107","01/01/2013 18:15",1,31111,3,23,900064.9,1011469
"108","01/01/2013 18:23",1,63701,2,9,872714.9,1002363
"109","01/01/2013 18:27",1,265321,2,9,874996.9,1007100
"110","01/01/2013 18:32",1,182130,6,70,889231.6,1036274
"111","01/01/2013 19:00",1,65701,8,56,893180.4,1032964
"112","01/01/2013 19:24",1,265321,4,32,901523.4,1014788
"113","01/01/2013 19:39",1,265321,8,56,895340.1,1032474
"114","01/01/2013 19:40",1,41013,1,5,885181.9,1004110
"115","01/01/2013 19:45",1,91114,8,56,893071.3,1032037
"116","01/01/2013 19:50",1,51212,3,15,892808,1004871
"117","01/01/2013 19:57",1,182130,6,71,891659.2,1039778
"118","01/01/2013 20:00",1,71013,6,74,896095.4,1050145
"119","01/01/2013 20:00",1,65701,2,7,883431.8,1003302
"120","01/01/2013 20:00",1,72140,2,42,878342.8,1015801
"121","01/01/2013 20:10",1,182130,7,50,888919.5,1035716
"122","01/01/2013 20:30",1,142320,2,10,875400.5,1012405
"123","01/01/2013 20:30",1,64601,8,56,894606.8,1032880
"124","01/01/2013 20:35",1,182250,1,1,892794.3,994442.1
"125","01/01/2013 21:00",1,65701,8,56,892288.1,1032348
"126","01/01/2013 21:00",1,71013,6,72,892131.9,1045469
"127","01/01/2013 21:00",1,182400,9,59,898518,1026419
"128","01/01/2013 21:00",1,72113,5,68,900988,1035320
"129","01/01/2013 21:30",1,72140,2,43,876439.1,1015645
"130","01/01/2013 21:30",1,142320,3,30,899123.9,1008510
"131","01/01/2013 21:30",1,65701,6,76,890122.3,1048565
"132","01/01/2013 22:00",1,142320,3,27,893892,1012896
"133","01/01/2013 22:00",1,72130,3,22,899971.9,1005349
"134","01/01/2013 22:30",1,65701,6,69,894677.1,1033571
"135","01/01/2013 22:40",1,265321,6,72,889923.9,1043136
"136","01/01/2013 22:57",1,43016,1,2,889207.4,988394.9
"137","01/01/2013 23:00",1,52221,2,12,881135.3,1013671
"138","01/02/2012 21:27",1,266999,4,35,908113.4,1017396
"139","01/02/2012 22:00",1,65701,7,50,886475.8,1032380
"140","01/02/2013 00:01",1,51322,1,16,892794.3,997740.9
"141","01/02/2013 00:12",1,71030,6,72,890297,1044309
"142","01/02/2013 01:00",1,52212,6,72,891322.9,1041521
"143","01/02/2013 01:00",1,103000,9,29,894354.8,1015713
"144","01/02/2013 01:00",1,72113,7,48,880363.8,1030067
"145","01/02/2013 01:00",1,91114,1,4,879357,993796.9
"146","01/02/2013 01:05",1,182250,5,60,904450.1,1026806
"147","01/02/2013 01:17",1,265321,7,48,879842.8,1032097
"148","01/02/2013 01:30",1,32111,1,16,895882.8,1001464
"149","01/02/2013 01:30",-1,32111,1,16,895882.8,1001464
