,DateOccur,Count,Crime,District,Neighborhood,XCoord,YCoord
1,01/01/1900 00:00,1,51112,3,15,890875.6,1005653
2,1/1/76 8:15,1,172100,9,29,894852.6,1015265
3,1/1/08 11:54,1,21000,7,52,888115.3,1032346
4,1/1/10 0:01,1,262200,7,78,883505.7,1032522
5,1/1/12 0:01,1,142320,1,16,892851.5,999714.8
6,1/1/12 0:01,1,142320,9,38,892922.9,1022865
7,1/1/12 0:01,1,142320,3,21,904156.8,1008911
8,1/1/12 0:01,1,142320,3,30,897959.3,1006154
9,1/1/12 0:02,1,41011,4,35,907173.4,1019045
10,1/1/12 0:07,1,142320,8,53,888733.6,1027045
11,1/1/12 0:13,1,41011,8,55,892219.1,1033981
12,1/1/12 0:13,1,41021,8,55,892219.1,1033981
13,1/1/12 0:15,1,41011,4,33,904203.9,1013767
14,1/1/12 0:19,1,142320,4,36,904969,1019199
15,1/1/12 0:20,1,142320,6,73,892098.1,1048334
16,1/1/12 0:30,1,64701,3,18,899473.2,1004309
17,1/1/12 0:30,1,142320,3,27,893884.4,1011511
18,1/1/12 0:32,1,142320,5,63,906336.8,1026885
19,1/1/12 0:33,1,41011,3,25,894373.3,1005899
20,1/1/12 0:50,1,10000,6,72,889874.4,1042351
21,1/1/12 1:00,1,142320,3,24,897586.8,1009217
22,1/1/12 1:00,1,41011,8,58,894302.8,1024258
23,1/1/12 1:00,1,91113,4,36,905250.6,1019322
24,1/1/12 1:00,1,64701,1,16,896689.4,1000316
25,1/1/12 1:00,1,67701,4,35,908726.1,1016735
26,1/1/12 1:00,1,69602,5,67,900070.8,1032782
27,1/1/12 1:05,1,72140,6,71,893292.9,1041153
28,1/1/12 1:15,1,130000,6,72,890010.3,1042209
29,1/1/12 1:18,1,241100,7,52,890824.9,1035170
30,1/1/12 1:18,1,51212,6,72,891195,1043465
31,1/1/12 1:30,1,142320,8,55,888824.3,1031245
32,1/1/12 1:30,1,91114,3,30,897687.2,1007758
33,1/1/12 1:30,1,91114,5,60,905100.6,1025104
34,1/1/12 1:45,1,211000,3,22,900755.9,1006524
35,1/1/12 1:55,1,91113,3,25,894544.1,1009940
36,1/1/12 2:00,1,61601,4,36,906401.2,1019193
37,1/1/12 2:00,1,142320,2,11,877078.3,1010913
38,1/1/12 2:00,1,43013,4,36,906005.4,1019294
39,1/1/12 2:00,1,241100,6,76,889940.3,1044505
40,1/1/12 2:00,1,142320,6,73,891765.5,1049209
41,1/1/12 2:00,1,142320,3,30,897676.1,1005575
42,1/1/12 2:00,1,67701,1,6,883769.1,998612.4
43,1/1/12 2:00,1,69703,4,35,909168.1,1016457
44,1/1/12 2:15,1,21000,4,60,903317.6,1018382
45,1/1/12 2:30,1,41013,3,21,903829.4,1010366
46,1/1/12 2:30,1,142320,1,4,886762.4,991534.1
47,1/1/12 2:30,1,51221,4,36,902918.5,1017646
48,1/1/12 2:30,1,91113,3,21,903829.4,1010366
49,1/1/12 2:32,1,91113,4,36,902876.1,1018303
50,1/1/12 2:32,1,91113,4,36,902876.1,1018303
51,1/1/12 2:38,1,211000,4,35,908074.1,1014297
52,1/1/12 3:00,1,69602,3,22,899823.1,1007498
53,1/1/12 3:05,1,31421,5,68,900275.6,1034676
54,1/1/12 3:11,1,151130,6,72,889874.4,1042351
55,1/1/12 3:25,1,91113,4,35,907214,1018987
56,1/1/12 3:25,1,91113,4,35,907214,1018987
57,1/1/12 3:25,1,91113,4,35,907214,1018987
58,1/1/12 3:25,1,91113,4,35,907214,1018987
59,1/1/12 3:25,1,91113,4,35,907214,1018987
60,1/1/12 3:25,1,91113,4,35,907214,1018987
61,1/1/12 4:15,1,142320,3,19,893516.4,1004609
62,1/1/12 4:20,1,91114,3,30,897399.5,1006858
63,1/1/12 4:20,1,91114,1,5,885917.6,1004152
64,1/1/12 4:35,1,32421,7,48,880221.1,1028405
65,1/1/12 4:40,1,115200,2,9,878226.1,1005177
66,1/1/12 5:00,1,51321,3,25,893961.1,1006966
67,1/1/12 5:00,1,31111,2,9,878103.4,1005197
68,1/1/12 5:25,1,142320,8,55,892316.1,1033234
69,1/1/12 5:25,1,91114,6,69,891910.8,1036791
70,1/1/12 6:00,1,142320,3,20,906762.7,1007260
71,1/1/12 6:57,1,265321,8,55,0,0
72,1/1/12 7:00,1,51312,6,69,894644.3,1033486
73,1/1/12 7:44,1,212000,2,14,883409.6,1005367
74,1/1/12 9:08,1,265321,1,5,887311.5,1002042
75,1/1/12 9:14,1,142320,3,25,896486.1,1009571
76,1/1/12 9:30,1,65701,9,38,892267.8,1020861
77,1/1/12 10:05,1,241100,7,52,889447.5,1032841
78,1/1/12 10:50,1,61701,4,35,909546.1,1019297
79,1/1/12 11:00,1,64601,2,10,877228.3,1014363
80,1/1/12 11:00,1,44015,5,68,898999.6,1033373
81,1/1/12 11:00,1,31111,4,36,906620.8,1019955
82,1/1/12 11:13,1,65701,5,67,901784.8,1032767
83,1/1/12 11:17,1,92000,6,69,894677.1,1033571
84,1/1/12 11:30,1,67701,9,39,888472.9,1018176
85,1/1/12 11:57,1,71013,8,54,890151.2,1028560
86,1/1/12 12:00,1,67701,4,64,910065.8,1020112
87,1/1/12 12:35,1,263299,4,36,904845.8,1016613
88,1/1/12 13:00,1,67701,9,59,899128,1022969
89,1/1/12 13:20,1,91113,6,68,897204.1,1032928
90,1/1/12 13:51,1,265321,8,56,897512.9,1028208
91,1/1/12 14:00,1,67601,1,5,887948.4,1002640
92,1/1/12 14:00,1,65601,3,30,897185.7,1005659
93,1/1/12 14:25,1,31111,3,27,892177.8,1013288
94,1/1/12 14:30,1,51322,2,41,881659.6,1018254
95,1/1/12 14:43,1,64601,1,16,890172,1002841
96,1/1/12 14:45,1,51312,7,51,886427.2,1029567
97,1/1/12 15:30,1,65701,5,67,900592.5,1033010
98,1/1/12 15:30,1,43015,8,57,893592.3,1030624
99,1/1/12 15:58,1,263299,6,68,898027,1033572
100,1/1/12 16:00,1,65701,1,5,888064.5,1001750
101,1/1/12 16:00,1,69702,2,8,878140.9,1001030
102,1/1/12 16:00,1,65701,4,35,908422.1,1017299
103,1/1/12 16:00,1,91114,2,11,880307.6,1013187
104,1/1/12 16:03,1,63701,2,9,879386.8,1006671
105,1/1/12 16:10,1,71013,9,31,900117.9,1015110
106,1/1/12 16:15,1,142320,3,25,896177.6,1007580
107,1/1/12 16:35,1,67601,2,7,883215.1,1004326
108,1/1/12 16:40,1,182130,2,11,876649,1011225
109,1/1/12 16:45,1,266999,7,48,882362.3,1029357
110,1/1/12 17:38,1,182130,5,67,901894.8,1031653
111,1/1/12 17:45,1,142320,8,54,890256.9,1027783
112,1/1/12 18:00,1,71013,8,56,896963.6,1029029
113,1/1/12 18:00,1,67701,1,5,887334.5,1000894
114,1/1/12 18:29,1,142320,9,38,887955.4,1023373
115,1/1/12 18:30,1,266510,2,9,872714.9,1002363
116,1/1/12 18:40,1,41011,4,63,908166.6,1024349
117,1/1/12 18:40,1,41011,4,63,908166.6,1024349
118,1/1/12 18:40,1,41011,4,63,908166.6,1024349
119,1/1/12 18:40,1,41011,4,63,908166.6,1024349
120,1/1/12 18:40,1,41011,4,63,908166.6,1024349
121,1/1/12 18:45,1,91113,6,79,899461.2,1045874
122,1/1/12 19:25,1,91113,8,56,898133.8,1028563
123,1/1/12 19:30,1,65701,4,33,903992.2,1011850
124,1/1/12 19:30,1,67601,6,70,885170.9,1041088
125,1/1/12 19:51,1,266999,4,36,905648.8,1019447
126,1/1/12 20:00,1,71013,3,25,896273.2,1007481
127,1/1/12 20:00,1,71013,3,25,896273.2,1007481
128,1/1/12 20:00,1,71013,3,25,896273.2,1007481
129,1/1/12 20:12,1,69702,1,3,887992.6,996354.4
130,1/1/12 20:15,1,64701,2,6,880221,996109.3
131,1/1/12 20:30,1,71013,7,51,885763.4,1029043
132,1/1/12 21:00,1,65701,7,78,883723.4,1031194
133,1/1/12 21:00,1,51312,1,2,888243.5,986745.6
134,1/1/12 21:05,1,42015,6,68,898712.8,1034948
135,1/1/12 21:05,1,42014,6,68,898712.8,1034948
136,1/1/12 21:50,1,43012,1,16,895726.6,1002881
137,1/1/12 22:30,1,142320,4,35,909766.3,1018424
138,1/1/12 22:30,1,142320,6,74,897449.1,1049251
139,1/1/12 23:00,1,51212,4,61,905133.4,1022136
