"","DateOccur","Count","Crime","District","Neighborhood","XCoord","YCoord"
"1","01/01/1999 00:01",1,171200,6,68,899288.6,1035703
"2","01/01/2004 00:01",1,172100,1,16,892816.8,1003323
"3","01/01/2005 00:01",1,171200,9,77,898490.5,1023374
"4","01/01/2008 00:01",1,172100,7,48,881406.1,1029663
"5","01/01/2009 00:01",1,172100,6,72,890462.4,1042103
"6","01/01/2009 08:00",1,121000,9,38,891021.8,1023157
"7","01/01/2010 00:01",1,179100,2,7,882383.8,1001987
"8","01/01/2010 15:00",1,65601,6,69,894148.3,1037659
"9","01/01/2011 00:01",1,43026,4,33,904444.7,1014130
"10","01/01/2011 00:01",1,43026,4,33,904444.7,1014130
"11","01/01/2011 00:01",1,43026,4,33,904444.7,1014130
"12","01/01/2011 00:01",1,69702,1,3,889036.3,994808.4
"13","01/01/2011 00:01",1,67601,1,5,884653.1,1001408
"14","01/01/2011 00:01",1,142320,3,23,899687.6,1010564
"15","01/01/2011 00:01",1,41011,9,31,899956.8,1014976
"16","01/01/2011 00:01",1,41011,8,56,896758.4,1028491
"17","01/01/2011 00:01",1,142320,3,21,901808,1004955
"18","01/01/2011 00:01",1,67701,3,30,897135.5,1007278
"19","01/01/2011 00:01",1,265100,2,13,880624,1009039
"20","01/01/2011 00:02",1,67601,3,21,904726.7,1010599
"21","01/01/2011 00:03",1,151140,4,36,905919.7,1019148
"22","01/01/2011 00:05",1,67701,4,35,908294.4,1014227
"23","01/01/2011 00:09",1,212000,1,16,893086.9,1002740
"24","01/01/2011 00:25",1,52222,4,35,908592.8,1017860
"25","01/01/2011 00:30",1,41021,8,55,890936.4,1031608
"26","01/01/2011 00:30",1,142320,1,16,893160.5,999984.9
"27","01/01/2011 00:30",1,142320,3,19,897032.1,1004685
"28","01/01/2011 00:30",1,41011,6,68,897661.3,1034279
"29","01/01/2011 00:35",1,41011,7,48,881347.1,1030609
"30","01/01/2011 00:40",1,266999,7,51,887107,1026812
"31","01/01/2011 00:40",1,142320,4,60,904244.1,1024454
"32","01/01/2011 00:40",1,91114,1,16,892380.8,1000596
"33","01/01/2011 00:55",1,91113,4,35,909638.8,1017088
"34","01/01/2011 01:00",1,142320,9,38,893959.7,1023718
"35","01/01/2011 01:00",1,142320,9,77,898334,1022420
"36","01/01/2011 01:00",1,142320,8,56,898492.3,1030710
"37","01/01/2011 01:00",1,91114,3,30,897461.5,1007249
"38","01/01/2011 01:00",1,64711,4,36,902865.6,1019690
"39","01/01/2011 01:06",1,212000,3,22,904436.3,1009756
"40","01/01/2011 01:10",1,91113,2,44,876343,1017620
"41","01/01/2011 01:27",1,91113,4,35,910439.8,1019433
"42","01/01/2011 01:30",1,64701,6,79,898344.4,1050289
"43","01/01/2011 01:45",1,67601,4,35,908202.3,1014639
"44","01/01/2011 01:45",1,67601,6,73,891495.4,1050624
"45","01/01/2011 01:45",1,91113,1,5,888902.4,997899.1
"46","01/01/2011 02:00",1,65701,7,47,884322.6,1024279
"47","01/01/2011 02:00",1,71013,6,75,904545.6,1059005
"48","01/01/2011 02:00",1,142320,3,27,890704.7,1010659
"49","01/01/2011 02:30",1,67701,6,74,895810.5,1049854
"50","01/01/2011 02:30",1,51222,1,5,887726.6,1002156
"51","01/01/2011 02:30",1,52312,5,59,899641.4,1026907
"52","01/01/2011 02:30",1,142320,7,38,886212.2,1024992
"53","01/01/2011 02:33",1,211000,1,17,894528.8,999330.6
"54","01/01/2011 02:40",1,266510,4,35,909422.4,1016993
"55","01/01/2011 02:45",1,41015,5,67,901178.3,1032042
"56","01/01/2011 02:59",1,32311,4,35,909518.1,1017323
"57","01/01/2011 03:00",1,42011,4,35,0,0
"58","01/01/2011 03:00",1,83000,9,77,895166.8,1021465
"59","01/01/2011 03:30",1,91113,3,18,900574.6,1003897
"60","01/01/2011 03:30",1,91113,4,35,910439.8,1019433
"61","01/01/2011 03:30",1,91113,9,31,899595.5,1013003
"62","01/01/2011 03:47",1,43012,1,1,890201.4,994671.8
"63","01/01/2011 04:30",1,91114,7,51,887107,1026812
"64","01/01/2011 06:30",1,51121,4,61,905305.6,1022738
"65","01/01/2011 07:00",1,65701,7,48,883632.6,1029331
"66","01/01/2011 07:15",1,91114,4,36,904614.6,1018599
"67","01/01/2011 08:00",1,51312,1,16,892880.7,1001805
"68","01/01/2011 08:10",1,266999,2,7,884678.6,1003853
"69","01/01/2011 08:30",1,142320,3,27,894398.1,1012718
"70","01/01/2011 09:12",1,65701,8,57,895866.3,1029364
"71","01/01/2011 09:41",1,51122,9,59,898348.3,1025886
